# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.278948 1564.07 192 1564.07
0.279302 1521.67 336 1521.67
0.280148 1577.58 288 1577.58
0.28043 1373.54 96 1373.54
0.280899 1652.46 216 1652.46
0.281273 1451.08 192 1451.08
0.281554 1186.22 168 1186.22
0.282114 1385.95 144 1385.95
0.282394 1731.5 96 1731.5
0.28274 1441.29 440 1441.29
0.283607 1576.44 552 1576.44
0.284345 1389.42 12 1389.42
0.284761 1529 384 1529
0.285176 1829.73 144 1829.73
0.285591 1333.46 288 1333.46
0.286006 1476.46 192 1476.46
0.286557 1301.46 48 1301.46
0.286833 1507.85 384 1507.85
0.287245 1444.06 240 1444.06
0.287657 1723.47 120 1723.47
0.287932 1106.94 240 1106.94
0.288206 1237.14 144 1237.14
0.288753 1701.33 48 1701.33
0.289215 1447.49 486 1447.49
0.289572 1394.55 216 1394.55
0.290049 1218.05 192 1218.05
0.290389 1431.51 240 1431.51
0.290933 1319.62 168 1319.62
0.291204 1596.42 144 1596.42
0.291649 1434.03 336 1434.03
0.292477 1460.02 408 1460.02
0.293335 1555.61 432 1555.61
0.293634 1408.15 288 1408.15
0.294056 1323.76 168 1323.76
0.294439 1420.66 360 1420.66
0.294708 1133.15 168 1133.15
0.295377 1523.83 192 1523.83
0.295777 1300.6 264 1300.6
0.296158 1706.08 168 1706.08
0.296577 1412.01 216 1412.01
0.296843 1382.64 288 1382.64
0.297375 1439.96 48 1439.96
0.297728 1342.19 288 1342.19
0.29817 1716.02 216 1716.02
0.298593 1265.5 240 1265.5
0.298963 1443.51 360 1443.51
0.299491 1571.26 48 1571.26
0.299842 1358.32 576 1358.32
0.300281 1270.74 120 1270.74
0.300806 1327.14 192 1327.14
0.301069 1492.22 192 1492.22
0.301593 1266.08 30 1266.08
0.302032 1449.67 300 1449.67
0.302377 1241.56 192 1241.56
0.302841 1381.55 432 1381.55
0.30316 1240.64 192 1240.64
0.30368 1366.05 192 1366.05
0.304051 1303.32 504 1303.32
0.304524 1456.61 224 1456.61
0.304977 1306.64 192 1306.64
0.305236 1293.15 240 1293.15
0.305991 1412.69 312 1412.69
0.306269 1335.37 384 1335.37
0.306691 1196.44 264 1196.44
0.307144 1496.86 240 1496.86
0.307983 1358.7 360 1358.7
0.3084 1368.87 408 1368.87
0.309172 1309.37 456 1309.37
0.309857 1791.61 72 1791.61
0.310112 1552.13 192 1552.13
0.310525 1446.12 384 1446.12
0.31099 1279.55 264 1279.55
0.311382 1398.72 408 1398.72
0.311889 1118.56 96 1118.56
0.312269 1351.45 288 1351.45
0.31276 1286.26 216 1286.26
0.313152 1289.64 384 1289.64
0.313404 1345.47 144 1345.47
0.314159 1074.83 150 1074.83
0.314456 1169.64 528 1169.64
0.314912 1504.11 72 1504.11
0.315252 1287.14 672 1287.14
0.315914 1050.42 96 1050.42
0.316266 1442.79 408 1442.79
0.316663 1366.61 240 1366.61
0.317161 1093.26 168 1093.26
0.31741 1311.18 240 1311.18
0.318139 1300.03 360 1300.03
0.318471 1135.09 264 1135.09
0.318899 1195.65 192 1195.65
0.31927 1387.11 384 1387.11
0.319888 1400.13 108 1400.13
0.320282 1378.22 600 1378.22
0.320655 1143.48 216 1143.48
0.321119 1262.4 168 1262.4
0.321365 1204.15 336 1204.15
0.322031 1487.3 336 1487.3
0.322526 1289.36 360 1289.36
0.323005 1304.61 312 1304.61
0.323325 1175.89 264 1175.89
0.323985 1251.62 408 1251.62
0.3243 1393.53 360 1393.53
0.324543 1117.81 96 1117.81
0.325151 1541.45 288 1541.45
0.325758 1484.39 48 1484.39
0.326161 1165.24 432 1165.24
0.326546 1208.17 302 1208.17
0.327064 1220.86 600 1220.86
0.327691 1165.19 144 1165.19
0.327932 997.78 240 997.78
0.328282 1141.19 264 1141.19
0.328784 1382.77 264 1382.77
0.329133 1329.44 384 1329.44
0.329841 1151.78 504 1151.78
0.330184 1331.08 312 1331.08
0.33072 1288.71 456 1288.71
0.331047 1126.99 120 1126.99
0.331619 1059.27 240 1059.27
0.332103 1048.69 552 1048.69
0.332712 1104.1 408 1104.1
0.33295 1039.49 192 1039.49
0.333642 1136.96 312 1136.96
0.333976 1167.89 432 1167.89
0.334538 1273.32 168 1273.32
0.334841 1209.41 384 1209.41
0.335489 1214.89 384 1214.89
0.335842 1143.36 384 1143.36
0.336398 1273.24 312 1273.24
0.336722 1152.79 144 1152.79
0.337361 1255.9 264 1255.9
0.337728 1089.17 324 1089.17
0.338302 1245.89 480 1245.89
0.338593 1152.76 264 1152.76
0.339219 1230.37 462 1230.37
0.33968 1107.66 432 1107.66
0.340222 1234.84 168 1234.84
0.340454 1237.55 480 1237.55
0.34111 1214.42 288 1214.42
0.341457 1146.16 360 1146.16
0.341981 1210.97 480 1210.97
0.342304 1217.07 96 1217.07
0.342896 1235.16 336 1235.16
0.343319 1083.56 528 1083.56
0.343889 1353.87 432 1353.87
0.344144 1043.48 288 1043.48
0.344975 1307.31 384 1307.31
0.345381 1202.06 480 1202.06
0.345903 1126.08 384 1126.08
0.346431 1465.06 48 1465.06
0.346711 1249.4 624 1249.4
0.347114 1257.37 96 1257.37
0.347693 1119.84 528 1119.84
0.348249 830.959 8 830.959
0.348674 1202.77 768 1202.77
0.349351 1223.76 360 1223.76
0.349607 1053.6 360 1053.6
0.350159 1290.15 432 1290.15
0.350642 1062.44 408 1062.44
0.35112 1123.01 336 1123.01
0.35148 1121.52 342 1121.52
0.352195 1226.47 384 1226.47
0.352643 1220.45 240 1220.45
0.353053 1271.98 576 1271.98
0.353649 1507.92 120 1507.92
0.354095 1202.74 696 1202.74
0.354764 1039.35 360 1039.35
0.354986 1245.19 192 1245.19
0.355617 920.215 516 920.215
0.356096 1192.37 528 1192.37
0.356681 1101.4 528 1101.4
0.357203 1210.28 72 1210.28
0.357538 1085.42 792 1085.42
0.358073 1106.93 408 1106.93
0.358527 796.182 144 796.182
0.359132 1143.95 192 1143.95
0.359548 1155.63 672 1155.63
0.360153 1156.91 600 1156.91
0.360723 1098.67 240 1098.67
0.361007 981.679 480 981.679
0.361646 1220.33 432 1220.33
0.362034 1141.38 240 1141.38
0.362673 969.568 360 969.568
0.363141 1171.03 576 1171.03
0.363658 1069.93 360 1069.93
0.364208 1276.64 96 1276.64
0.364631 1083.41 630 1083.41
0.365254 1022.25 432 1022.25
0.365506 1019.08 480 1019.08
0.36621 1015.1 648 1015.1
0.366646 1068.98 336 1068.98
0.367191 1142.75 648 1142.75
0.367841 1014.13 456 1014.13
0.36819 1104.94 360 1104.94
0.368786 1002.34 384 1002.34
0.369374 1189.63 96 1189.63
0.369792 999.415 872 999.415
0.370399 1165.35 480 1165.35
0.370655 1096.63 192 1096.63
0.371336 1076.9 600 1076.9
0.371771 902.512 384 902.512
0.372284 951.576 360 951.576
0.372991 1008.52 480 1008.52
0.373366 1103.63 588 1103.63
0.373927 1058.7 504 1058.7
0.37459 1199.13 336 1199.13
0.374981 952.42 504 952.42
0.375627 1033.25 672 1033.25
0.376152 1470.1 48 1470.1
0.376617 1100.71 672 1100.71
0.377129 1123.71 438 1123.71
0.377503 1018.28 432 1018.28
0.378149 1152 624 1152
0.378792 1102.12 696 1102.12
0.37908 1319.67 192 1319.67
0.379832 1026.23 624 1026.23
0.3802 1040.86 312 1040.86
0.380627 1040.29 432 1040.29
0.381357 996.528 696 996.528
0.381778 869.537 240 869.537
0.382344 1030.81 648 1030.81
0.383006 1023.07 456 1023.07
0.383379 1015.77 600 1015.77
0.383968 1164.9 504 1164.9
0.384565 1031.92 456 1031.92
0.385004 979.998 432 979.998
0.385525 1003.23 696 1003.23
0.386269 1180.84 456 1180.84
0.386688 1099.66 456 1099.66
0.387276 1135.04 648 1135.04
0.387892 1114.55 480 1114.55
0.388179 973.592 456 973.592
0.388847 1040.9 384 1040.9
0.389557 1203.7 198 1203.7
0.389907 1009.76 696 1009.76
0.390439 1134.62 816 1134.62
0.391112 961.632 420 961.632
0.391566 1138.34 608 1138.34
0.392133 982.51 576 982.51
0.392741 1089.22 312 1089.22
0.393152 964.725 648 964.725
0.39364 1151.98 480 1151.98
0.394472 1073.49 960 1073.49
0.394792 1179.86 192 1179.86
0.395292 1015.52 864 1015.52
0.396035 894.44 432 894.44
0.396578 1019.97 504 1019.97
0.396986 1011.69 312 1011.69
0.397594 935.069 816 935.069
0.398219 931.546 456 931.546
0.398574 1021.9 240 1021.9
0.399376 995.37 864 995.37
0.399932 980.167 360 980.167
0.400293 1073.37 552 1073.37
0.40095 1012.98 816 1012.98
0.401651 918.039 648 918.039
0.402318 1048.18 486 1048.18
0.402656 1119.56 672 1119.56
0.403158 1027.97 528 1027.97
0.403809 1046.54 240 1046.54
0.40418 1043.73 864 1043.73
0.404742 935.3 384 935.3
0.405462 990.863 672 990.863
0.406032 1138.84 600 1138.84
0.406469 973.811 576 973.811
0.407117 1004.77 984 1004.77
0.40784 1072.73 600 1072.73
0.408488 1046.31 288 1046.31
0.408865 1006.43 540 1006.43
0.409428 1026.35 672 1026.35
0.410095 888.566 672 888.566
0.410692 996.474 696 996.474
0.411077 939.399 456 939.399
0.411797 969.163 840 969.163
0.412387 926.59 768 926.59
0.413069 838.233 384 838.233
0.413425 922.06 416 922.06
0.414017 959.822 720 959.822
0.414722 963.931 582 963.931
0.415173 892.29 624 892.29
0.415761 856.074 456 856.074
0.416342 960.675 936 960.675
0.417001 949.976 696 949.976
0.417662 859.577 288 859.577
0.41799 944.598 840 944.598
0.418527 983.554 792 983.554
0.419264 972.861 624 972.861
0.419977 992.262 840 992.262
0.420723 951.836 576 951.836
0.42113 936.238 552 936.238
0.42156 974.724 696 974.724
0.422336 950.191 816 950.191
0.422843 936.282 600 936.282
0.423171 900.11 432 900.11
0.42402 944.405 960 944.405
0.424555 899.055 504 899.055
0.425274 1013.71 816 1013.71
0.425802 959.115 336 959.115
0.426195 897.002 276 897.002
0.426919 877.437 1158 877.437
0.427527 862.319 624 862.319
0.428161 928.866 960 928.866
0.428759 902.363 504 902.363
0.429418 919.961 1056 919.961
0.430013 883.768 624 883.768
0.430489 920.129 648 920.129
0.431278 971.169 864 971.169
0.431907 919.793 792 919.793
0.432512 965.078 312 965.078
0.432922 851.339 696 851.339
0.433472 956.916 792 956.916
0.434177 878.675 960 878.675
0.434752 910.498 576 910.498
0.435572 818.703 536 818.703
0.436121 949.265 720 949.265
0.436676 866.314 1128 866.314
0.437223 940.464 600 940.464
0.437808 889.87 600 889.87
0.438503 910.281 840 910.281
0.439092 931.837 720 931.837
0.43987 914.889 1014 914.889
0.440465 870.887 624 870.887
0.440809 1011.71 384 1011.71
0.441487 934.582 1008 934.582
0.442106 905.649 672 905.649
0.442775 881.632 960 881.632
0.443458 889.482 576 889.482
0.444191 895.456 876 895.456
0.444649 893.711 840 893.711
0.445282 918.61 840 918.61
0.445885 917.061 648 917.061
0.446353 762.522 672 762.522
0.447064 816.622 1008 816.622
0.447681 848.855 744 848.855
0.448428 858.457 888 858.457
0.449013 807.463 888 807.463
0.44981 828.355 456 828.355
0.450258 851.137 648 851.137
0.450854 879.336 1224 879.336
0.451483 868.29 504 868.29
0.45202 838.772 726 838.772
0.452814 788.506 888 788.506
0.453303 830.105 792 830.105
0.454026 844.142 1224 844.142
0.454757 812.839 720 812.839
0.455447 842.862 912 842.862
0.45594 851.836 792 851.836
0.456811 909.696 888 909.696
0.457311 881.428 800 881.428
0.457848 878.237 984 878.237
0.458515 829.127 936 829.127
0.459067 954.784 528 954.784
0.459638 852.471 720 852.471
0.460259 845.949 792 845.949
0.461065 911.505 768 911.505
0.461618 803.876 1152 803.876
0.462353 892.826 924 892.826
0.462953 886.316 624 886.316
0.46367 850.804 1200 850.804
0.464248 879.562 744 879.562
0.465011 839.69 966 839.69
0.465586 814.718 840 814.718
0.466338 827.611 792 827.611
0.466934 832.57 1248 832.57
0.467717 834.806 1176 834.806
0.468324 820.967 792 820.967
0.46914 790.837 768 790.837
0.4696 840.199 984 840.199
0.470288 794.987 576 794.987
0.47078 804.712 792 804.712
0.471426 801.433 984 801.433
0.47212 876.385 1032 876.385
0.472758 857.293 720 857.293
0.473484 831.9 1440 831.9
0.474152 797.56 768 797.56
0.474739 839.846 1104 839.846
0.475471 832.264 888 832.264
0.476073 800.31 768 800.31
0.476848 828.861 648 828.861
0.477473 869.871 1062 869.871
0.478156 861.842 1176 861.842
0.478738 763.723 752 763.723
0.479322 838.173 1056 838.173
0.480079 855.498 1164 855.498
0.480979 803.17 1224 803.17
0.481664 779.666 1224 779.666
0.482353 775.035 528 775.035
0.482859 799.615 1200 799.615
0.483623 843.548 1056 843.548
0.484206 780.83 984 780.83
0.484992 776.878 720 776.878
0.485544 786.094 1272 786.094
0.486279 831.505 1080 831.505
0.486937 913.405 576 913.405
0.487569 834.525 960 834.525
0.488151 817.251 864 817.251
0.488942 794.845 1344 794.845
0.489497 858.818 864 858.818
0.49029 781.995 1038 781.995
0.490867 708.696 1032 708.696
0.491587 824.243 1608 824.243
0.492398 791.782 456 791.782
0.493027 782.935 1464 782.935
0.49374 796.992 768 796.992
0.494462 759.402 1704 759.402
0.495264 813.804 816 813.804
0.495805 784.773 1008 784.773
0.496556 763.977 1056 763.977
0.497227 774.457 912 774.457
0.497939 843.157 1236 843.157
0.49855 802.086 1032 802.086
0.499232 804.565 936 804.565
0.4999 796.339 1032 796.339
0.500696 763.349 1424 763.349
0.501427 820.139 1224 820.139
0.502119 819.019 936 819.019
0.502899 771.203 1326 771.203
0.503459 772.746 768 772.746
0.504192 810.492 1320 810.492
0.504823 769.977 1008 769.977
0.50561 806.284 1272 806.284
0.506391 813.091 1128 813.091
0.507106 770.592 1344 770.592
0.507923 799.81 1008 799.81
0.508416 809.75 1272 809.75
0.509117 829.577 1128 829.577
0.509743 802.738 864 802.738
0.51051 793.494 1680 793.494
0.511301 786.1 696 786.1
0.511978 787.755 1512 787.755
0.512869 788.969 1296 788.969
0.513416 773.87 792 773.87
0.51415 782.597 1440 782.597
0.514907 804.421 774 804.421
0.51564 728.489 1356 728.489
0.516293 736.978 1392 736.978
0.517029 761.101 1320 761.101
0.517782 764.387 864 764.387
0.518356 812.625 1488 812.625
0.519188 757.2 1680 757.2
0.520017 769.012 984 769.012
0.520662 733.05 1320 733.05
0.521365 712.69 1176 712.69
