# Minitial =  1.00 msun, Z = 0.0200, Mfinal = 0.564 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   5.0357985E-04  1.2511010E-03  7.4752118E-04  1.8507412E-03  1.1059034E-03  2.2362849E-01
    n15     15  -1.0999203E-06  1.8521940E-06  2.9521143E-06  2.7399319E-06  4.3674390E-06 -2.0248707E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -3.3960678E-06  6.4889956E-03  6.4923917E-03  9.5991064E-03  9.6050221E-03 -2.6756214E-04
    o17     17   9.2619530E-07  3.5564453E-06  2.6302500E-06  5.2610139E-06  3.8912640E-06  1.3097876E-01
    o18     18  -1.8358232E-06  1.2827110E-05  1.4662934E-05  1.8975015E-05  2.1692746E-05 -5.8132380E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.2747137E-09  2.7540676E-07  2.7413205E-07  4.0740645E-07  4.0555850E-07  1.9743838E-03
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.0652002E-07  1.0960068E-03  1.0959003E-03  1.6213119E-03  1.6213050E-03  1.8637858E-06
   ne21     21   3.0677256E-09  2.7963611E-06  2.7932933E-06  4.1366288E-06  4.1324747E-06  4.3637343E-04
   ne22     22  -3.4554250E-07  8.7787550E-05  8.8133093E-05  1.2986324E-04  1.3038651E-04 -1.7464350E-03
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.0997263E-30  4.0997263E-30  0.0000000E+00  6.0646838E-30  0.0000000E+00  0.0000000E+00
   na23     23   3.7262180E-07  2.2975932E-05  2.2603310E-05  3.3988064E-05  3.3439956E-05  7.0607257E-03
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   3.4197001E-08  3.4857981E-04  3.4854561E-04  5.1565061E-04  5.1564793E-04  2.2779593E-06
   mg25     25  -2.4228939E-09  4.5804441E-05  4.5806864E-05  6.7758046E-05  6.7767927E-05 -6.3321691E-05
   mg26     26   1.2551027E-08  5.2554762E-05  5.2542211E-05  7.7743731E-05  7.7732388E-05  6.3364234E-05
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   2.8757303E-13  2.8757303E-13  0.0000000E+00  4.2540388E-13  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.8962753E-09  3.9310278E-05  3.9306382E-05  5.8151298E-05  5.8150938E-05  2.6921325E-06
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   4.3568434E-08  4.4226053E-04  4.4221696E-04  6.5423152E-04  6.5422792E-04  2.3815026E-06
   si29     29   2.3064786E-09  2.3202072E-05  2.3199766E-05  3.4322591E-05  3.4322369E-05  2.7956755E-06
   si30     30   1.5734258E-09  1.5930162E-05  1.5928588E-05  2.3565328E-05  2.3565191E-05  2.5368174E-06
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   5.5115379E-10  5.5232831E-06  5.5227320E-06  8.1705375E-06  8.1704811E-06  3.0027620E-06
