# Minitial =  1.00 msun, Z = 0.0040, Mfinal = 0.610 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.8903748E-06  7.4358174E-04  7.4847211E-04  1.9066199E-03  1.9194069E-03 -2.9029553E-03
    o17     17   3.4176622E-07  6.4499329E-07  3.0322707E-07  1.6538290E-06  7.7760563E-07  3.2773119E-01
    o18     18  -1.5000546E-07  1.5404033E-06  1.6904088E-06  3.9497522E-06  4.3349410E-06 -4.0413342E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -2.8679992E-10  3.1316379E-08  3.1603179E-08  8.0298413E-08  8.1044249E-08 -4.0152464E-03
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -1.1248630E-08  1.2632908E-04  1.2634032E-04  3.2392071E-04  3.2399135E-04 -9.4701201E-05
   ne21     21   1.0863062E-08  3.3288649E-07  3.2202342E-07  8.5355515E-07  8.2580766E-07  1.4352690E-02
   ne22     22  -1.7012917E-07  9.9902500E-06  1.0160379E-05  2.5616026E-05  2.6055615E-05 -7.3895874E-03
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   7.5717527E-31  7.5717527E-31  0.0000000E+00  1.9414751E-30  0.0000000E+00  0.0000000E+00
   na23     23   1.8341416E-07  2.7892252E-06  2.6058110E-06  7.1518598E-06  6.6824286E-06  2.9484672E-02
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.4697434E-09  4.0183375E-05  4.0181905E-05  1.0303430E-04  1.0304382E-04 -4.0150993E-05
   mg25     25  -1.7083948E-08  5.2637374E-06  5.2808214E-06  1.3496763E-05  1.3542315E-05 -1.4632853E-03
   mg26     26   1.3663794E-08  6.0709663E-06  6.0573025E-06  1.5566580E-05  1.5533549E-05  9.2252728E-04
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   3.0869685E-09  3.0869685E-09  0.0000000E+00  7.9153040E-09  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.8976607E-09  4.5333140E-06  4.5314164E-06  1.1623883E-05  1.1620516E-05  1.2583935E-04
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.4952093E-09  5.0982260E-05  5.0980765E-05  1.3072375E-04  1.3073678E-04 -4.3257609E-05
   si29     29   7.6397555E-11  2.6746497E-06  2.6745734E-06  6.8580766E-06  6.8587660E-06 -4.3645938E-05
   si30     30   5.3091753E-11  1.8363726E-06  1.8363195E-06  4.7086478E-06  4.7091189E-06 -4.3438828E-05
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   2.9501734E-11  6.3671490E-07  6.3668540E-07  1.6326023E-06  1.6327374E-06 -3.5931211E-05
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32   8.7311491E-10  3.0903790E-05  3.0902916E-05  7.9240490E-05  7.9248472E-05 -4.3749489E-05
    s33     33   7.5885964E-12  2.5156129E-07  2.5155370E-07  6.4502899E-07  6.4509271E-07 -4.2895168E-05
    s34     34   4.4838089E-10  1.4586538E-05  1.4586089E-05  3.7401380E-05  3.7405054E-05 -4.2662170E-05
    s35     35   9.6617418E-21  9.6617418E-21  0.0000000E+00  2.4773697E-20  0.0000000E+00  0.0000000E+00
   fe54     54   1.5415935E-10  5.5680148E-06  5.5678606E-06  1.4276961E-05  1.4278407E-05 -4.3982491E-05
   fe55     55   3.8430323E-19  3.8430323E-19  0.0000000E+00  9.8539297E-19  0.0000000E+00  0.0000000E+00
   fe56     56   3.2014214E-09  9.1297232E-05  9.1294030E-05  2.3409548E-04  2.3411745E-04 -4.0772316E-05
   fe57     57   3.5015546E-11  2.2296574E-06  2.2296224E-06  5.7170705E-06  5.7177185E-06 -4.9212013E-05
   fe58     58   9.5496944E-12  2.8873137E-07  2.8872182E-07  7.4033687E-07  7.4040793E-07 -4.1678410E-05
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   8.0100534E-36  8.0100534E-36  0.0000000E+00  2.0538600E-35  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   8.4128260E-12  2.6225104E-07  2.6224262E-07  6.7243860E-07  6.7250380E-07 -4.2118514E-05
   co60     60   3.4072482E-38  3.4072482E-38  0.0000000E+00  8.7365343E-38  0.0000000E+00  0.0000000E+00
   co61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni58     58   1.2687451E-10  3.8610769E-06  3.8609501E-06  9.9001973E-06  9.9011504E-06 -4.1807853E-05
   ni59     59   2.2636343E-21  2.2636343E-21  0.0000000E+00  5.8041906E-21  0.0000000E+00  0.0000000E+00
   ni60     60   4.7975846E-11  1.5291714E-06  1.5291234E-06  3.9209526E-06  3.9213351E-06 -4.2351508E-05
   ni61     61   1.0268484E-07  1.6979696E-07  6.7112119E-08  4.3537685E-07  1.7210458E-07  4.0307292E-01
   ni62     62  -1.0435885E-07  1.1243678E-07  2.1679563E-07  2.8829945E-07  5.5595797E-07 -2.8519815E-01
# Minitial =  1.25 msun, Z = 0.0040, Mfinal = 0.642 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   3.1459835E-09  1.0039843E-08  6.8938593E-09  1.6512899E-08  1.1339757E-08  1.6321962E-01
      n      1  -8.5802065E-40 -8.5802065E-40  0.0000000E+00 -1.4112183E-39  0.0000000E+00  0.0000000E+00
      p      1  -1.4874369E-02  4.4020039E-01  4.5507476E-01  7.2401381E-01  7.4855560E-01 -1.4477217E-02
      d      2   2.4817232E-18  2.4817232E-18  0.0000000E+00  4.0817819E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.9051151E-04  1.9051151E-04  0.0000000E+00  3.1334130E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.4488026E-02  1.6504456E-01  1.5055653E-01  2.7145487E-01  2.4765149E-01  3.9856683E-02
    li7      7  -5.0160354E-10  6.3250316E-10  1.1341067E-09  1.0403013E-09  1.8655000E-09 -2.5363612E-01
    be7      7   2.9256111E-12  2.9256111E-12  0.0000000E+00  4.8118605E-12  0.0000000E+00  0.0000000E+00
     b8      8   6.4218609E-22  6.4218609E-22  0.0000000E+00  1.0562271E-21  0.0000000E+00  0.0000000E+00
    c12     12   6.6652981E-05  4.3538757E-04  3.6873459E-04  7.1609800E-04  6.0653407E-04  7.2117269E-02
    c13     13   6.5936033E-06  1.1031373E-05  4.4377698E-06  1.8143706E-05  7.2997177E-06  3.9541996E-01
    c14     14   1.6582520E-11  1.6582520E-11  0.0000000E+00  2.7273883E-11  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.1963357E-04  2.5398569E-04  1.3435213E-04  4.1773965E-04  2.2099674E-04  2.7651983E-01
    n15     15  -2.2301566E-07  3.0756843E-07  5.3058409E-07  5.0586914E-07  8.7276146E-07 -2.3685740E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.1669472E-06  1.1657119E-03  1.1668789E-03  1.9172893E-03  1.9194069E-03 -4.7941381E-04
    o17     17   6.6641996E-07  1.1391553E-06  4.7273537E-07  1.8736107E-06  7.7760563E-07  3.8191995E-01
    o18     18  -4.7888352E-07  2.1564881E-06  2.6353716E-06  3.5468556E-06  4.3349410E-06 -8.7139681E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.6868889E-09  5.1956700E-08  4.9269811E-08  8.5455099E-08  8.1044249E-08  2.3015793E-02
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -7.1158865E-08  1.9689521E-04  1.9696637E-04  3.2384082E-04  3.2399135E-04 -2.0182802E-04
   ne21     21   1.2282840E-08  5.1432198E-07  5.0203914E-07  8.4592432E-07  8.2580766E-07  1.0452587E-02
   ne22     22   2.1588439E-06  1.7999020E-05  1.5840176E-05  2.9603652E-05  2.6055615E-05  5.5443965E-02
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   4.1200764E-28  4.1200764E-28  0.0000000E+00  6.7764418E-28  0.0000000E+00  0.0000000E+00
   na23     23   3.8766348E-07  4.4501603E-06  4.0624968E-06  7.3193428E-06  6.6824286E-06  3.9537750E-02
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -2.4301698E-09  6.2641739E-05  6.2644169E-05  1.0302918E-04  1.0304382E-04 -6.1742423E-05
   mg25     25  -3.0934643E-08  8.2019424E-06  8.2328770E-06  1.3490037E-05  1.3542315E-05 -1.6797750E-03
   mg26     26   1.2410965E-08  9.4558318E-06  9.4434208E-06  1.5552356E-05  1.5533549E-05  5.2547781E-04
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   1.5725663E-08  1.5725663E-08  0.0000000E+00  2.5864578E-08  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.3995548E-08  7.0985388E-06  7.0645433E-06  1.1675229E-05  1.1620516E-05  2.0399857E-03
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   9.3132257E-10  7.9480677E-05  7.9479745E-05  1.3072480E-04  1.3073678E-04 -3.9788556E-05
   si29     29   5.4569682E-11  4.1697531E-06  4.1696985E-06  6.8581467E-06  6.8587660E-06 -3.9219012E-05
   si30     30   6.3232619E-10  2.8634806E-06  2.8628483E-06  4.7096723E-06  4.7091189E-06  5.1044131E-05
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   2.1108675E-19  2.1108675E-19  0.0000000E+00  3.4718215E-19  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   1.0027179E-10  9.9270198E-07  9.9260171E-07  1.6327335E-06  1.6327374E-06 -1.0354401E-06
    p32     32   5.3886413E-23  5.3886413E-23  0.0000000E+00  8.8628971E-23  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -5.7843863E-10  4.8177513E-05  4.8178092E-05  7.9239333E-05  7.9248472E-05 -5.0092240E-05
    s33     33   1.8505375E-10  3.9236087E-07  3.9217582E-07  6.4533043E-07  6.4509271E-07  1.5999758E-04
    s34     34  -2.3646862E-11  2.2739900E-05  2.2739923E-05  3.7401151E-05  3.7405054E-05 -4.5328699E-05
    s35     35   2.3020729E-11  2.3020729E-11  0.0000000E+00  3.7863043E-11  0.0000000E+00  0.0000000E+00
   fe54     54  -1.6061676E-09  8.6787686E-06  8.6803748E-06  1.4274291E-05  1.4278407E-05 -1.2522849E-04
   fe55     55   1.1622537E-09  1.1622537E-09  0.0000000E+00  1.9116015E-09  0.0000000E+00  0.0000000E+00
   fe56     56  -5.7771103E-09  1.4232293E-04  1.4232870E-04  2.3408377E-04  2.3411745E-04 -6.2493222E-05
   fe57     57   4.8917173E-09  3.4809052E-06  3.4760135E-06  5.7251732E-06  5.7177185E-06  5.6586089E-04
   fe58     58   1.8778508E-09  4.5199931E-07  4.5012146E-07  7.4341995E-07  7.4040793E-07  1.7631336E-03
   fe59     59   1.1617881E-38  1.1617881E-38  0.0000000E+00  1.9108358E-38  0.0000000E+00  0.0000000E+00
   fe60     60   1.9640940E-13  1.9640940E-13  0.0000000E+00  3.2304180E-13  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   7.6667561E-10  4.0960671E-07  4.0884004E-07  6.7369530E-07  6.7250380E-07  7.6875376E-04
   co60     60   6.9022297E-19  6.9022297E-19  0.0000000E+00  1.1352352E-18  0.0000000E+00  0.0000000E+00
   co61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni58     58  -1.0304575E-09  6.0182465E-06  6.0192770E-06  9.8984319E-06  9.9011504E-06 -1.1924714E-04
   ni59     59   8.8151722E-11  8.8151722E-11  0.0000000E+00  1.4498638E-10  0.0000000E+00  0.0000000E+00
   ni60     60  -6.0936145E-11  2.3838645E-06  2.3839254E-06  3.9208298E-06  3.9213351E-06 -5.5969074E-05
   ni61     61   1.9204410E-07  2.9667285E-07  1.0462876E-07  4.8794880E-07  1.7210458E-07  4.5258182E-01
   ni62     62  -1.9477316E-07  1.4321434E-07  3.3798750E-07  2.3554990E-07  5.5595797E-07 -3.7295905E-01
# Minitial =  1.50 msun, Z = 0.0040, Mfinal = 0.628 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   5.3155773E-09  1.5202989E-08  9.8874118E-09  1.7434621E-08  1.1339757E-08  1.8680878E-01
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.1642625E-02  6.3104135E-01  6.5268397E-01  7.2367132E-01  7.4855560E-01 -1.4682703E-02
      d      2   4.2420506E-18  4.2420506E-18  0.0000000E+00  4.8647369E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.8161402E-04  2.8161402E-04  0.0000000E+00  3.2295188E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.9421741E-02  2.3535514E-01  2.1593340E-01  2.6990268E-01  2.4765149E-01  3.7366234E-02
    li7      7  -9.7388253E-10  6.5269262E-10  1.6265751E-09  7.4850071E-10  1.8655000E-09 -3.9660305E-01
    be7      7   2.3072432E-13  2.3072432E-13  0.0000000E+00  2.6459211E-13  0.0000000E+00  0.0000000E+00
     b8      8   3.0942816E-26  3.0942816E-26  0.0000000E+00  3.5484883E-26  0.0000000E+00  0.0000000E+00
    c12     12   1.6609356E-03  2.1897876E-03  5.2885193E-04  2.5112242E-03  6.0653407E-04  6.1703026E-01
    c13     13   1.0045871E-05  1.6410673E-05  6.3648026E-06  1.8819579E-05  7.2997177E-06  4.1130385E-01
    c14     14   1.6194172E-10  1.6194172E-10  0.0000000E+00  1.8571299E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.0413633E-04  3.9682881E-04  1.9269247E-04  4.5507893E-04  2.2099674E-04  3.1370085E-01
    n15     15  -3.7820820E-07  3.8277392E-07  7.6098212E-07  4.3896094E-07  8.7276146E-07 -2.9846966E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.8044335E-05  1.7016223E-03  1.6735779E-03  1.9514017E-03  1.9194069E-03  7.1795965E-03
    o17     17   1.8020392E-06  2.4800527E-06  6.7801346E-07  2.8440973E-06  7.7760563E-07  5.6318510E-01
    o18     18  -8.9322862E-07  2.8865127E-06  3.7797413E-06  3.3102210E-06  4.3349410E-06 -1.1712619E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.7447081E-08  1.1811154E-07  7.0664463E-08  1.3544903E-07  8.1044249E-08  2.2305369E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -3.9671431E-07  2.8209927E-04  2.8249598E-04  3.2350834E-04  3.2399135E-04 -6.4794294E-04
   ne21     21   2.0809296E-08  7.4085125E-07  7.2004195E-07  8.4960010E-07  8.2580766E-07  1.2335640E-02
   ne22     22   3.4220342E-05  5.6938872E-05  2.2718528E-05  6.5296874E-05  2.6055615E-05  3.9899108E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.3199293E-31  1.3199293E-31  0.0000000E+00  1.5136804E-31  0.0000000E+00  0.0000000E+00
   na23     23   1.4209431E-06  7.2475168E-06  5.8265737E-06  8.3113728E-06  6.6824286E-06  9.4738416E-02
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   4.0039595E-08  8.9886475E-05  8.9846435E-05  1.0308082E-04  1.0304382E-04  1.5590909E-04
   mg25     25  -7.0191163E-08  1.1737686E-05  1.1807877E-05  1.3460649E-05  1.3542315E-05 -2.6269157E-03
   mg26     26   1.1207703E-08  1.3555289E-05  1.3544081E-05  1.5545056E-05  1.5533549E-05  3.2159174E-04
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   3.0101255E-08  3.0101255E-08  0.0000000E+00  3.4519790E-08  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.8429546E-07  1.0316508E-05  1.0132212E-05  1.1830857E-05  1.1620516E-05  7.7908039E-03
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   4.8967195E-09  1.1399750E-04  1.1399260E-04  1.3073107E-04  1.3073678E-04 -1.8948944E-05
   si29     29   1.4019861E-09  5.9817280E-06  5.9803260E-06  6.8597801E-06  6.8587660E-06  6.4192456E-05
   si30     30   6.5019776E-09  4.1124986E-06  4.1059966E-06  4.7161684E-06  4.7091189E-06  6.4966583E-04
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   2.9939939E-18  2.9939939E-18  0.0000000E+00  3.4334793E-18  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   9.9998942E-10  1.4246237E-06  1.4236238E-06  1.6337428E-06  1.6327374E-06  2.6737154E-04
    p32     32   7.6430933E-22  7.6430933E-22  0.0000000E+00  8.7650156E-22  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -7.1013346E-09  6.9091584E-05  6.9098685E-05  7.9233469E-05  7.9248472E-05 -8.2221617E-05
    s33     33   2.2685640E-09  5.6474073E-07  5.6247217E-07  6.4763844E-07  6.4509271E-07  1.7104853E-03
    s34     34   2.5465852E-11  3.2614407E-05  3.2614382E-05  3.7401845E-05  3.7405054E-05 -3.7251510E-05
    s35     35   2.7643898E-10  2.7643898E-10  0.0000000E+00  3.1701719E-10  0.0000000E+00  0.0000000E+00
   fe54     54  -1.9954314E-08  1.2429738E-05  1.2449693E-05  1.4254288E-05  1.4278407E-05 -7.3425460E-04
   fe55     55   1.4504400E-08  1.4504400E-08  0.0000000E+00  1.6633487E-08  0.0000000E+00  0.0000000E+00
   fe56     56  -7.4345735E-08  2.0405841E-04  2.0413275E-04  2.3401194E-04  2.3411745E-04 -1.9576792E-04
   fe57     57   5.8963906E-08  5.0443828E-06  4.9854189E-06  5.7848429E-06  5.7177185E-06  5.0688051E-03
   fe58     58   2.1849587E-08  6.6742939E-07  6.4557980E-07  7.6540067E-07  7.4040793E-07  1.4417800E-02
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   2.9213374E-12  2.9213374E-12  0.0000000E+00  3.3501576E-12  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   9.0306571E-09  5.9540321E-07  5.8637255E-07  6.8280184E-07  6.7250380E-07  6.5999595E-03
