                          6.5M Z=0.001 VW93  
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   mg26    1.023E-04  1.300E-04   6.719E-01   1.587E-04  1.863E-04   8.283E-01
   al26    5.894E-06  5.894E-06   0.000E+00   5.885E-06  5.885E-06   0.000E+00
   al27    1.065E-05  3.090E-05   1.836E-01   1.174E-05  3.199E-05   1.985E-01
   si28    7.820E-06  2.407E-04   1.432E-02   8.770E-06  2.416E-04   1.603E-02
   si29    5.274E-07  1.274E-05   1.833E-02   7.735E-07  1.299E-05   2.664E-02
   si30    1.311E-06  9.699E-06   6.307E-02   1.871E-06  1.026E-05   8.743E-02
    p31    5.504E-07  2.772E-06   9.610E-02   7.383E-07  2.960E-06   1.246E-01
    s32   -3.703E-07  1.649E-04  -1.000E-03  -4.840E-07  1.648E-04  -1.300E-03
    s33    2.644E-08  1.372E-06   8.429E-03   3.502E-08  1.380E-06   1.114E-02
    s34   -3.120E-07  6.696E-05  -2.045E-03  -3.703E-07  6.690E-05  -2.423E-03
    s35    1.774E-06  1.774E-06   0.000E+00   1.857E-06  1.857E-06   0.000E+00
   fe54   -2.315E-07  2.495E-05  -4.038E-03  -2.560E-07  2.492E-05  -4.465E-03
   fe55    1.143E-07  1.143E-07   0.000E+00   1.142E-07  1.142E-07   0.000E+00
   fe56   -1.908E-06  4.111E-04  -2.037E-03  -2.311E-06  4.107E-04  -2.463E-03
   fe57    1.740E-07  1.025E-05   7.408E-03   1.641E-07  1.024E-05   6.988E-03
   fe58    2.178E-07  1.523E-06   6.700E-02   2.204E-07  1.526E-06   6.772E-02
   fe60    4.967E-07  4.967E-07   0.000E+00   5.813E-07  5.813E-07   0.000E+00
   co59    1.077E-07  1.355E-06   3.595E-02   1.088E-07  1.356E-06   3.631E-02
   ni58   -1.222E-07  1.778E-05  -3.002E-03  -1.397E-07  1.776E-05  -3.429E-03
   ni60   -1.157E-08  7.066E-06  -7.367E-04  -1.854E-08  7.059E-06  -1.165E-03
   ni61    2.310E-06  2.622E-06   9.250E-01   2.722E-06  3.033E-06   9.883E-01
   ni62   -9.943E-07  1.160E-08  -1.938E+00  -9.943E-07  1.160E-08  -1.938E+00
      g    7.787E-07  7.969E-07   1.639E+00   8.903E-07  9.086E-07   1.696E+00
                          6.5M Z=0.0001 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -9.320E-01  3.129E+00  -1.133E-01  -9.337E-01  3.127E+00  -1.135E-01
    he3    2.738E-07  2.738E-07   0.000E+00   2.738E-07  2.738E-07   0.000E+00
    he4    8.319E-01  2.171E+00   2.098E-01   8.325E-01  2.172E+00   2.099E-01
    li7   -5.549E-09  1.221E-10  -1.667E+00  -5.549E-09  1.221E-10  -1.667E+00
    c12    2.901E-03  3.000E-03   1.484E+00   3.868E-03  3.966E-03   1.605E+00
    c13    8.525E-04  8.536E-04   2.886E+00   8.518E-04  8.529E-04   2.886E+00
    n14    9.042E-02  9.045E-02   3.476E+00   9.036E-02  9.039E-02   3.476E+00
    n15    6.146E-06  6.258E-06   1.747E+00   6.144E-06  6.256E-06   1.747E+00
    o16    1.636E-03  1.910E-03   8.428E-01   1.689E-03  1.963E-03   8.548E-01
    o17    1.043E-05  1.054E-05   2.003E+00   1.043E-05  1.053E-05   2.003E+00
