                            7.0M Z=0.02 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact  
   ni60    8.751E-07  5.498E-05   6.943E-03   8.615E-07  5.497E-05   6.835E-03
   ni61    1.461E-05  1.699E-05   8.535E-01   1.682E-05  1.920E-05   9.066E-01
   ni62   -7.630E-06  5.893E-08  -2.116E+00  -7.630E-06  5.893E-08  -2.116E+00
      g    6.956E-07  8.353E-07   7.765E-01   9.708E-07  1.111E-06   9.002E-01
			    7.5M Z=0.008 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.790E-01  4.144E+00  -5.681E-02  -5.867E-01  4.137E+00  -5.763E-02
    he3    5.558E-06  5.558E-06   0.000E+00   5.558E-06  5.558E-06   0.000E+00
    he4    5.635E-01  2.230E+00   1.265E-01   5.675E-01  2.234E+00   1.273E-01
    li7   -1.990E-08  7.687E-09  -5.550E-01  -1.990E-08  7.687E-09  -5.550E-01
    c12   -4.490E-03  4.673E-03  -2.925E-01  -1.030E-03  8.132E-03  -5.184E-02
    c13    5.014E-04  6.072E-04   7.587E-01   4.989E-04  6.048E-04   7.569E-01
    n14    2.588E-02  2.870E-02   1.009E+00   2.581E-02  2.863E-02   1.008E+00
    n15   -9.539E-06  1.147E-06  -9.692E-01  -9.540E-06  1.146E-06  -9.697E-01
    o16   -7.126E-03  1.840E-02  -1.422E-01  -7.034E-03  1.849E-02  -1.400E-01
    o17    7.111E-05  8.110E-05   9.096E-01   7.100E-05  8.098E-05   9.090E-01
    o18   -5.418E-05  1.475E-06  -1.577E+00  -5.418E-05  1.475E-06  -1.577E+00
    f19   -1.136E-06  3.019E-07  -6.779E-01  -9.912E-07  4.468E-07  -5.077E-01
   ne20    5.876E-06  4.668E-03   5.217E-04   9.592E-06  4.672E-03   8.672E-04
   ne21   -1.100E-05  9.010E-07  -1.121E+00  -1.044E-05  1.455E-06  -9.126E-01
   ne22    2.632E-04  6.378E-04   2.312E-01   3.178E-04  6.924E-04   2.668E-01
   na23    6.742E-05  1.700E-04   2.194E-01   6.887E-05  1.714E-04   2.231E-01
   mg24   -5.984E-04  9.045E-04  -2.206E-01  -5.981E-04  9.049E-04  -2.204E-01
   mg25    6.562E-04  8.544E-04   6.345E-01   6.984E-04  8.966E-04   6.554E-01
   mg26    2.076E-04  4.345E-04   2.821E-01   3.218E-04  5.487E-04   3.834E-01
   al26    1.348E-05  1.348E-05   0.000E+00   1.344E-05  1.344E-05   0.000E+00
   al27    7.898E-06  1.741E-04   2.014E-02   9.598E-06  1.758E-04   2.436E-02
   si28    1.401E-05  1.924E-03   3.148E-03   1.719E-05  1.927E-03   3.867E-03
   si29    3.096E-06  1.033E-04   1.319E-02   4.353E-06  1.046E-04   1.844E-02
   si30    5.722E-06  7.453E-05   3.467E-02   8.489E-06  7.730E-05   5.049E-02
    p31    1.186E-06  1.941E-05   2.736E-02   1.837E-06  2.006E-05   4.168E-02
    s32   -3.480E-06  1.352E-03  -1.142E-03  -4.944E-06  1.351E-03  -1.612E-03
    s33    6.188E-08  1.110E-05   2.403E-03   7.158E-08  1.111E-05   2.783E-03
    s34   -2.891E-06  5.490E-04  -2.306E-03  -3.818E-06  5.481E-04  -3.040E-03
    s35    3.180E-06  3.180E-06   0.000E+00   4.233E-06  4.233E-06   0.000E+00
   fe54   -1.897E-06  2.046E-04  -4.034E-03  -2.284E-06  2.043E-04  -4.855E-03
   fe55    6.113E-07  6.113E-07   0.000E+00   6.102E-07  6.102E-07   0.000E+00
   fe56   -1.845E-05  3.369E-03  -2.397E-03  -2.459E-05  3.363E-03  -3.189E-03
   fe57    1.735E-06  8.442E-05   8.994E-03   1.661E-06  8.434E-05   8.613E-03
   fe58    6.142E-06  1.685E-05   1.968E-01   7.052E-06  1.776E-05   2.197E-01
   fe60    4.382E-06  4.382E-06   0.000E+00   6.979E-06  6.979E-06   0.000E+00
   co59    2.569E-06  1.280E-05   9.725E-02   3.133E-06  1.337E-05   1.160E-01
   ni58   -1.131E-06  1.457E-04  -3.385E-03  -1.407E-06  1.454E-04  -4.207E-03
   ni60    5.163E-07  5.860E-05   3.818E-03   4.394E-07  5.853E-05   3.247E-03
   ni61    1.487E-05  1.743E-05   8.337E-01   1.811E-05  2.066E-05   9.076E-01
   ni62   -8.192E-06  6.299E-08  -2.117E+00  -8.192E-06  6.299E-08  -2.117E+00
      g    7.623E-07  9.123E-07   7.840E-01   1.139E-06  1.289E-06   9.340E-01
			    8.0M Z=0.008 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.238E-01  4.405E+00  -5.755E-02  -6.307E-01  4.397E+00  -5.824E-02
    he3    1.119E-05  1.119E-05   0.000E+00   1.119E-05  1.119E-05   0.000E+00
    he4    6.098E-01  2.384E+00   1.283E-01   6.128E-01  2.387E+00   1.289E-01
    li7    3.210E-08  6.147E-08   3.207E-01   3.210E-08  6.147E-08   3.208E-01
    c12   -5.169E-03  4.585E-03  -3.279E-01  -1.689E-03  8.064E-03  -8.260E-02
    c13    5.132E-04  6.259E-04   7.446E-01   5.109E-04  6.235E-04   7.430E-01
    n14    2.537E-02  2.836E-02   9.765E-01   2.530E-02  2.829E-02   9.756E-01
    n15   -9.606E-06  1.770E-06  -8.080E-01  -9.606E-06  1.768E-06  -8.084E-01
    o16   -7.248E-03  1.992E-02  -1.348E-01  -7.102E-03  2.007E-02  -1.316E-01
    o17    9.866E-05  1.093E-04   1.012E+00   9.851E-05  1.091E-04   1.011E+00
    o18   -5.754E-05  1.709E-06  -1.540E+00  -5.753E-05  1.709E-06  -1.540E+00
    f19   -1.294E-06  2.370E-07  -8.102E-01  -1.227E-06  3.032E-07  -7.032E-01
   ne20    2.950E-05  4.993E-03   2.549E-03   3.796E-05  5.000E-03   3.284E-03
   ne21   -1.162E-05  1.047E-06  -1.083E+00  -1.112E-05  1.546E-06  -9.134E-01
   ne22    2.351E-04  6.339E-04   2.013E-01   2.542E-04  6.528E-04   2.142E-01
   na23    5.483E-05  1.640E-04   1.767E-01   5.622E-05  1.654E-04   1.804E-01
   mg24   -1.005E-03  5.953E-04  -4.294E-01  -1.002E-03  5.982E-04  -4.273E-01
   mg25    1.083E-03  1.294E-03   7.877E-01   1.131E-03  1.342E-03   8.033E-01
   mg26    2.444E-04  4.860E-04   3.036E-01   3.852E-04  6.267E-04   4.140E-01
   al26    1.789E-05  1.789E-05   0.000E+00   1.784E-05  1.784E-05   0.000E+00
   al27    9.360E-06  1.862E-04   2.237E-02   1.131E-05  1.882E-04   2.688E-02
   si28    1.358E-05  2.047E-03   2.865E-03   1.675E-05  2.050E-03   3.539E-03
   si29    3.160E-06  1.098E-04   1.265E-02   4.503E-06  1.112E-04   1.793E-02
   si30    6.349E-06  7.961E-05   3.607E-02   9.460E-06  8.270E-05   5.273E-02
    p31    1.395E-06  2.079E-05   3.014E-02   2.184E-06  2.158E-05   4.632E-02
    s32   -3.577E-06  1.440E-03  -1.103E-03  -5.010E-06  1.438E-03  -1.536E-03
    s33    5.452E-08  1.180E-05   1.986E-03   7.056E-08  1.182E-05   2.576E-03
    s34   -2.768E-06  5.848E-04  -2.077E-03  -3.619E-06  5.838E-04  -2.709E-03
    s35    3.079E-06  3.079E-06   0.000E+00   4.064E-06  4.064E-06   0.000E+00
   fe54   -1.809E-06  2.181E-04  -3.612E-03  -2.155E-06  2.177E-04  -4.303E-03
   fe55    6.846E-07  6.846E-07   0.000E+00   6.834E-07  6.834E-07   0.000E+00
   fe56   -1.730E-05  3.589E-03  -2.115E-03  -2.290E-05  3.582E-03  -2.792E-03
   fe57    1.305E-06  8.933E-05   6.367E-03   1.205E-06  8.921E-05   5.879E-03
   fe58    4.456E-06  1.586E-05   1.432E-01   4.976E-06  1.638E-05   1.573E-01
   fe60    5.340E-06  5.340E-06   0.000E+00   7.698E-06  7.698E-06   0.000E+00
   co59    2.198E-06  1.309E-05   7.979E-02   2.559E-06  1.345E-05   9.160E-02
   ni58   -1.036E-06  1.553E-04  -2.915E-03  -1.283E-06  1.550E-04  -3.605E-03
   ni60    3.202E-07  6.216E-05   2.217E-03   2.296E-07  6.206E-05   1.584E-03
   ni61    1.580E-05  1.852E-05   8.328E-01   1.932E-05  2.204E-05   9.084E-01
   ni62   -8.721E-06  6.690E-08  -2.118E+00  -8.720E-06  6.690E-08  -2.118E+00
      g    9.047E-07  1.064E-06   8.238E-01   1.407E-06  1.567E-06   9.917E-01
			    8.5M Z=0.008 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.843E-01  4.650E+00  -5.965E-02  -6.912E-01  4.644E+00  -6.029E-02
    he3    1.992E-05  1.992E-05   0.000E+00   1.992E-05  1.992E-05   0.000E+00
    he4    6.613E-01  2.543E+00   1.308E-01   6.640E-01  2.546E+00   1.312E-01
    li7    1.348E-07  1.659E-07   7.263E-01   1.348E-07  1.659E-07   7.263E-01
    c12   -5.522E-03  4.826E-03  -3.313E-01  -1.751E-03  8.597E-03  -8.055E-02
    c13    7.327E-04  8.522E-04   8.530E-01   7.306E-04  8.501E-04   8.519E-01
    n14    3.258E-02  3.576E-02   1.052E+00   3.251E-02  3.569E-02   1.051E+00
    n15   -8.547E-06  3.522E-06  -5.349E-01  -8.549E-06  3.520E-06  -5.352E-01
    o16   -5.924E-03  2.290E-02  -9.993E-02  -5.710E-03  2.312E-02  -9.589E-02
    o17    1.245E-04  1.358E-04   1.081E+00   1.243E-04  1.356E-04   1.080E+00
    o18   -5.948E-05  3.377E-06  -1.270E+00  -5.948E-05  3.377E-06  -1.270E+00
    f19   -1.355E-06  2.696E-07  -7.799E-01  -1.323E-06  3.012E-07  -7.319E-01
   ne20    4.694E-05  5.313E-03   3.829E-03   6.428E-05  5.330E-03   5.244E-03
   ne21   -1.196E-05  1.481E-06  -9.579E-01  -1.151E-05  1.930E-06  -8.430E-01
   ne22    4.552E-04  8.782E-04   3.172E-01   4.586E-04  8.816E-04   3.189E-01
   na23    6.151E-05  1.773E-04   1.850E-01   6.276E-05  1.786E-04   1.880E-01
   mg24   -1.161E-03  5.363E-04  -5.004E-01  -1.154E-03  5.432E-04  -4.949E-01
   mg25    1.267E-03  1.491E-03   8.234E-01   1.316E-03  1.540E-03   8.375E-01
   mg26    3.008E-04  5.571E-04   3.371E-01   4.462E-04  7.025E-04   4.378E-01
   al26    1.504E-05  1.504E-05   0.000E+00   1.500E-05  1.500E-05   0.000E+00
   al27    1.023E-05  1.979E-04   2.303E-02   1.229E-05  2.000E-04   2.752E-02
   si28    1.372E-05  2.171E-03   2.728E-03   1.688E-05  2.174E-03   3.360E-03
   si29    3.229E-06  1.164E-04   1.219E-02   4.665E-06  1.179E-04   1.751E-02
   si30    7.175E-06  8.489E-05   3.832E-02   1.044E-05  8.816E-05   5.473E-02
    p31    1.697E-06  2.228E-05   3.438E-02   2.504E-06  2.308E-05   4.984E-02
    s32   -3.799E-06  1.527E-03  -1.105E-03  -5.264E-06  1.526E-03  -1.521E-03
    s33    6.914E-08  1.253E-05   2.377E-03   9.953E-08  1.256E-05   3.429E-03
    s34   -2.833E-06  6.205E-04  -2.004E-03  -3.683E-06  6.196E-04  -2.599E-03
    s35    3.162E-06  3.162E-06   0.000E+00   4.150E-06  4.150E-06   0.000E+00
   fe54   -1.904E-06  2.314E-04  -3.585E-03  -2.248E-06  2.310E-04  -4.232E-03
   fe55    8.289E-07  8.289E-07   0.000E+00   8.276E-07  8.276E-07   0.000E+00
   fe56   -1.720E-05  3.808E-03  -1.982E-03  -2.278E-05  3.803E-03  -2.619E-03
   fe57    1.341E-06  9.473E-05   6.167E-03   1.235E-06  9.462E-05   5.681E-03
   fe58    3.180E-06  1.528E-05   1.013E-01   3.635E-06  1.573E-05   1.141E-01
   fe60    6.021E-06  6.021E-06   0.000E+00   8.416E-06  8.416E-06   0.000E+00
   co59    1.752E-06  1.331E-05   6.126E-02   2.100E-06  1.366E-05   7.247E-02
   ni58   -1.048E-06  1.648E-04  -2.780E-03  -1.294E-06  1.645E-04  -3.426E-03
   ni60    1.088E-07  6.572E-05   6.938E-04   1.858E-08  6.563E-05   9.748E-05
   ni61    1.738E-05  2.027E-05   8.464E-01   2.097E-05  2.386E-05   9.172E-01
   ni62   -9.253E-06  7.049E-08  -2.121E+00  -9.253E-06  7.049E-08  -2.121E+00
      g    1.111E-06  1.280E-06   8.782E-01   1.628E-06  1.797E-06   1.026E+00
		            6.5M Z=0.004 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.492E-01  3.531E+00  -6.281E-02  -5.557E-01  3.525E+00  -6.361E-02
    he3    3.871E-06  3.871E-06   0.000E+00   3.871E-06  3.871E-06   0.000E+00
    he4    5.239E-01  1.915E+00   1.387E-01   5.272E-01  1.919E+00   1.395E-01
    li7   -1.163E-08  1.340E-10  -1.944E+00  -1.163E-08  1.340E-10  -1.944E+00
    c12    3.340E-04  4.291E-03   3.517E-02   3.297E-03  7.254E-03   2.632E-01
    c13    4.848E-04  5.299E-04   1.070E+00   4.828E-04  5.279E-04   1.068E+00
    n14    2.898E-02  3.020E-02   1.396E+00   2.891E-02  3.013E-02   1.395E+00
    n15   -3.589E-06  9.679E-07  -6.728E-01  -3.590E-06  9.666E-07  -6.734E-01
    o16   -5.167E-03  5.857E-03  -2.747E-01  -5.069E-03  5.955E-03  -2.675E-01
    o17    1.793E-05  2.219E-05   7.169E-01   1.790E-05  2.216E-05   7.163E-01
    o18   -2.325E-05  4.817E-07  -1.693E+00  -2.325E-05  4.817E-07  -1.693E+00
    f19   -3.487E-07  2.648E-07  -3.649E-01  -2.070E-07  4.065E-07  -1.787E-01
   ne20    1.906E-05  2.008E-03   4.117E-03   2.294E-05  2.012E-03   4.955E-03
   ne21   -4.539E-06  5.346E-07  -9.773E-01  -4.144E-06  9.305E-07  -7.366E-01
   ne22    3.494E-04  5.090E-04   5.035E-01   4.081E-04  5.677E-04   5.509E-01
   na23    1.234E-05  5.608E-05   1.079E-01   1.380E-05  5.753E-05   1.191E-01
   mg24   -4.770E-04  1.639E-04  -5.922E-01  -4.762E-04  1.647E-04  -5.901E-01
   mg25    5.311E-04  6.156E-04   8.623E-01   5.585E-04  6.430E-04   8.812E-01
   mg26    2.211E-04  3.179E-04   5.165E-01   3.087E-04  4.055E-04   6.221E-01
   al26    2.835E-05  2.835E-05   0.000E+00   2.829E-05  2.829E-05   0.000E+00
   al27    1.330E-05  8.416E-05   7.467E-02   1.491E-05  8.576E-05   8.288E-02
   si28    1.487E-05  8.297E-04   7.827E-03   1.694E-05  8.318E-04   8.911E-03
   si29    2.944E-06  4.567E-05   2.891E-02   3.566E-06  4.630E-05   3.479E-02
   si30    5.329E-06  3.467E-05   7.246E-02   6.682E-06  3.602E-05   8.908E-02
    p31    1.155E-06  8.924E-06   6.015E-02   1.530E-06  9.300E-06   7.805E-02
    s32   -3.064E-06  5.750E-04  -2.334E-03  -3.687E-06  5.744E-04  -2.805E-03
    s33    5.018E-08  4.755E-06   4.582E-03   5.423E-08  4.759E-06   4.952E-03
    s34   -2.448E-06  2.329E-04  -4.566E-03  -2.836E-06  2.325E-04  -5.291E-03
    s35    2.712E-06  2.712E-06   0.000E+00   3.162E-06  3.162E-06   0.000E+00
   fe54   -1.421E-06  8.666E-05  -7.092E-03  -1.582E-06  8.650E-05  -7.898E-03
   fe55    2.639E-07  2.639E-07   0.000E+00   2.635E-07  2.635E-07   0.000E+00
   fe56   -1.610E-05  1.428E-03  -4.893E-03  -1.867E-05  1.426E-03  -5.674E-03
   fe57    1.207E-06  3.647E-05   1.459E-02   1.170E-06  3.643E-05   1.416E-02
   fe58    5.469E-06  1.004E-05   3.419E-01   5.796E-06  1.036E-05   3.559E-01
   fe60    3.697E-06  3.697E-06   0.000E+00   4.675E-06  4.675E-06   0.000E+00
   co59    2.169E-06  6.532E-06   1.752E-01   2.366E-06  6.729E-06   1.882E-01
   ni58   -9.271E-07  6.169E-05  -6.505E-03  -1.042E-06  6.157E-05  -7.311E-03
   ni60    5.366E-07  2.530E-05   9.283E-03   5.172E-07  2.528E-05   8.951E-03
   ni61    9.672E-06  1.076E-05   9.944E-01   1.124E-05  1.233E-05   1.053E+00
   ni62   -3.495E-06  2.353E-08  -2.175E+00  -3.495E-06  2.353E-08  -2.175E+00
      g    7.146E-07  7.786E-07   1.085E+00   9.705E-07  1.034E-06   1.209E+00
			    7.0M Z=0.004 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -5.843E-01  3.824E+00  -6.177E-02  -5.896E-01  3.818E+00  -6.239E-02
    he3    3.671E-06  3.671E-06   0.000E+00   3.671E-06  3.671E-06   0.000E+00
    he4    5.695E-01  2.073E+00   1.395E-01   5.719E-01  2.075E+00   1.400E-01
    li7   -1.218E-08  5.333E-10  -1.377E+00  -1.217E-08  5.333E-10  -1.377E+00
    c12   -8.867E-04  3.389E-03  -1.010E-01   1.847E-03  6.123E-03   1.560E-01
    c13    3.527E-04  4.014E-04   9.156E-01   3.528E-04  4.015E-04   9.158E-01
    n14    1.984E-02  2.116E-02   1.207E+00   1.980E-02  2.111E-02   1.207E+00
    n15   -4.040E-06  8.829E-07  -7.463E-01  -4.040E-06  8.817E-07  -7.468E-01
    o16   -4.933E-03  6.978E-03  -2.322E-01  -4.812E-03  7.097E-03  -2.248E-01
    o17    2.938E-05  3.398E-05   8.683E-01   2.934E-05  3.394E-05   8.679E-01
    o18   -2.513E-05  5.176E-07  -1.695E+00  -2.512E-05  5.177E-07  -1.695E+00
    f19   -5.165E-07  1.463E-07  -6.562E-01  -4.325E-07  2.302E-07  -4.591E-01
   ne20    2.323E-05  2.172E-03   4.645E-03   2.856E-05  2.177E-03   5.709E-03
   ne21   -5.098E-06  3.841E-07  -1.154E+00  -4.795E-06  6.862E-07  -9.025E-01
   ne22    1.747E-04  3.472E-04   3.038E-01   2.015E-04  3.740E-04   3.361E-01
   na23    7.510E-06  5.476E-05   6.404E-02   8.316E-06  5.556E-05   7.039E-02
   mg24   -5.961E-04  9.642E-05  -8.563E-01  -5.950E-04  9.740E-05  -8.518E-01
   mg25    6.227E-04  7.140E-04   8.931E-01   6.431E-04  7.344E-04   9.054E-01
   mg26    1.279E-04  2.325E-04   3.470E-01   1.935E-04  2.981E-04   4.549E-01
   al26    2.493E-05  2.493E-05   0.000E+00   2.488E-05  2.488E-05   0.000E+00
   al27    1.096E-05  8.752E-05   5.808E-02   1.193E-05  8.848E-05   6.290E-02
   si28    1.020E-05  8.906E-04   4.978E-03   1.179E-05  8.920E-04   5.751E-03
   si29    1.717E-06  4.788E-05   1.583E-02   2.242E-06  4.840E-05   2.058E-02
   si30    3.219E-06  3.492E-05   4.198E-02   4.363E-06  3.605E-05   5.599E-02
    p31    7.106E-07  9.105E-06   3.526E-02   1.020E-06  9.413E-06   4.979E-02
    s32   -1.826E-06  6.227E-04  -1.298E-03  -2.337E-06  6.221E-04  -1.654E-03
    s33    3.068E-08  5.114E-06   2.588E-03   3.442E-08  5.117E-06   2.905E-03
    s34   -1.498E-06  2.528E-04  -2.591E-03  -1.821E-06  2.524E-04  -3.147E-03
    s35    1.656E-06  1.656E-06   0.000E+00   2.029E-06  2.029E-06   0.000E+00
   fe54   -9.730E-07  9.419E-05  -4.489E-03  -1.108E-06  9.404E-05  -5.110E-03
   fe55    3.170E-07  3.170E-07   0.000E+00   3.165E-07  3.165E-07   0.000E+00
   fe56   -9.526E-06  1.551E-03  -2.685E-03  -1.167E-05  1.549E-03  -3.285E-03
   fe57    8.467E-07  3.894E-05   9.521E-03   8.201E-07  3.891E-05   9.225E-03
   fe58    2.974E-06  7.908E-06   2.049E-01   3.270E-06  8.203E-06   2.209E-01
   fe60    2.386E-06  2.386E-06   0.000E+00   3.190E-06  3.190E-06   0.000E+00
   co59    1.264E-06  5.978E-06   1.032E-01   1.441E-06  6.154E-06   1.158E-01
   ni58   -5.783E-07  6.707E-05  -3.754E-03  -6.741E-07  6.696E-05  -4.376E-03
   ni60    2.527E-07  2.701E-05   4.056E-03   2.311E-07  2.698E-05   3.710E-03
   ni61    7.438E-06  8.615E-06   8.642E-01   8.714E-06  9.891E-06   9.242E-01
   ni62   -3.777E-06  2.441E-08  -2.192E+00  -3.777E-06  2.441E-08  -2.192E+00
      g    4.501E-07  5.192E-07   8.759E-01   6.629E-07  7.320E-07   1.025E+00
		            7.5M Z=0.004 VW93 
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.247E-01  4.085E+00  -6.182E-02  -6.309E-01  4.079E+00  -6.248E-02
    he3    6.000E-06  6.000E-06   0.000E+00   6.000E-06  6.000E-06   0.000E+00
    he4    6.119E-01  2.218E+00   1.401E-01   6.145E-01  2.221E+00   1.407E-01
    li7    1.249E-08  2.607E-08   2.832E-01   1.249E-08  2.607E-08   2.832E-01
    c12   -1.164E-03  3.404E-03  -1.278E-01   2.076E-03  6.645E-03   1.627E-01
    c13    3.758E-04  4.279E-04   9.146E-01   3.742E-04  4.263E-04   9.130E-01
    n14    1.777E-02  1.918E-02   1.136E+00   1.773E-02  1.913E-02   1.135E+00
    n15   -3.940E-06  1.319E-06  -6.006E-01  -3.941E-06  1.319E-06  -6.009E-01
    o16   -4.503E-03  8.223E-03  -1.897E-01  -4.329E-03  8.396E-03  -1.806E-01
    o17    4.393E-05  4.885E-05   9.972E-01   4.388E-05  4.880E-05   9.967E-01
    o18   -2.682E-05  5.752E-07  -1.678E+00  -2.682E-05  5.752E-07  -1.678E+00
    f19   -6.282E-07  7.989E-08  -9.477E-01  -5.895E-07  1.186E-07  -7.759E-01
   ne20    3.798E-05  2.334E-03   7.100E-03   4.869E-05  2.344E-03   9.090E-03
   ne21   -5.439E-06  4.180E-07  -1.147E+00  -5.055E-06  8.018E-07  -8.636E-01
   ne22    1.442E-04  3.285E-04   2.509E-01   1.537E-04  3.380E-04   2.633E-01
   na23    3.455E-06  5.394E-05   2.873E-02   4.380E-06  5.486E-05   3.611E-02
   mg24   -6.531E-04  8.672E-05  -9.311E-01  -6.504E-04  8.944E-05  -9.177E-01
   mg25    6.887E-04  7.862E-04   9.062E-01   7.163E-04  8.139E-04   9.212E-01
   mg26    1.381E-04  2.499E-04   3.495E-01   2.274E-04  3.391E-04   4.821E-01
   al26    1.995E-05  1.995E-05   0.000E+00   1.991E-05  1.991E-05   0.000E+00
   al27    1.140E-05  9.320E-05   5.665E-02   1.274E-05  9.453E-05   6.283E-02
   si28    1.113E-05  9.517E-04   5.081E-03   1.293E-05  9.535E-04   5.905E-03
   si29    1.548E-06  5.087E-05   1.340E-02   2.235E-06  5.156E-05   1.922E-02
   si30    3.207E-06  3.707E-05   3.926E-02   4.809E-06  3.867E-05   5.765E-02
    p31    7.646E-07  9.733E-06   3.551E-02   1.203E-06  1.017E-05   5.462E-02
    s32   -1.662E-06  6.656E-04  -1.109E-03  -2.311E-06  6.649E-04  -1.533E-03
    s33    2.603E-08  5.457E-06   2.051E-03   3.494E-08  5.466E-06   2.759E-03
    s34   -1.295E-06  2.704E-04  -2.101E-03  -1.672E-06  2.700E-04  -2.707E-03
    s35    1.446E-06  1.446E-06   0.000E+00   1.893E-06  1.893E-06   0.000E+00
   fe54   -8.668E-07  1.008E-04  -3.744E-03  -1.020E-06  1.007E-04  -4.403E-03
   fe55    3.566E-07  3.566E-07   0.000E+00   3.561E-07  3.561E-07   0.000E+00
   fe56   -7.993E-06  1.659E-03  -2.113E-03  -1.047E-05  1.657E-03  -2.763E-03
   fe57    6.285E-07  4.133E-05   6.629E-03   5.793E-07  4.128E-05   6.112E-03
   fe58    1.859E-06  7.129E-06   1.311E-01   2.038E-06  7.309E-06   1.420E-01
   fe60    2.438E-06  2.438E-06   0.000E+00   3.424E-06  3.424E-06   0.000E+00
   co59    9.190E-07  5.955E-06   7.276E-02   1.048E-06  6.084E-06   8.206E-02
   ni58   -4.816E-07  7.180E-05  -2.929E-03  -5.904E-07  7.169E-05  -3.588E-03
   ni60    1.162E-07  2.870E-05   1.736E-03   9.163E-08  2.868E-05   1.364E-03
   ni61    7.625E-06  8.884E-06   8.487E-01   9.348E-06  1.061E-05   9.257E-01
   ni62   -4.036E-06  2.605E-08  -2.193E+00  -4.036E-06  2.605E-08  -2.193E+00
      g    5.036E-07  5.774E-07   8.933E-01   7.951E-07  8.689E-07   1.071E+00
		            8.0M Z=0.004 VW93
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
      p   -6.849E-01  4.344E+00  -6.361E-02  -6.943E-01  4.335E+00  -6.455E-02
    he3    1.579E-05  1.579E-05   0.000E+00   1.579E-05  1.579E-05   0.000E+00
    he4    6.644E-01  2.380E+00   1.422E-01   6.685E-01  2.384E+00   1.429E-01
    li7    1.234E-07  1.379E-07   9.782E-01   1.234E-07  1.379E-07   9.782E-01
    c12   -2.674E-03  2.204E-03  -3.451E-01   2.264E-03  7.142E-03   1.656E-01
    c13    4.559E-04  5.115E-04   9.636E-01   4.544E-04  5.101E-04   9.624E-01
    n14    2.434E-02  2.583E-02   1.237E+00   2.426E-02  2.576E-02   1.236E+00
    n15   -2.177E-06  3.439E-06  -2.130E-01  -2.181E-06  3.435E-06  -2.136E-01
    o16   -2.138E-03  1.145E-02  -7.437E-02  -1.891E-03  1.170E-02  -6.511E-02
    o17    6.657E-05  7.182E-05   1.136E+00   6.643E-05  7.167E-05   1.135E+00
    o18   -2.791E-05  1.347E-06  -1.337E+00  -2.791E-05  1.347E-06  -1.337E+00
    f19   -6.596E-07  9.658E-08  -8.937E-01  -6.017E-07  1.544E-07  -6.899E-01
   ne20    3.595E-05  2.487E-03   6.297E-03   5.131E-05  2.503E-03   8.971E-03
   ne21   -5.787E-06  4.673E-07  -1.127E+00  -5.394E-06  8.599E-07  -8.617E-01
   ne22    2.259E-04  4.227E-04   3.320E-01   2.394E-04  4.362E-04   3.457E-01
   na23    2.031E-05  7.422E-05   1.389E-01   2.136E-05  7.526E-05   1.449E-01
   mg24   -6.446E-04  1.454E-04  -7.350E-01  -6.410E-04  1.490E-04  -7.245E-01
   mg25    6.864E-04  7.906E-04   8.801E-01   7.196E-04  8.238E-04   8.980E-01
   mg26    1.322E-04  2.515E-04   3.239E-01   2.333E-04  3.526E-04   4.707E-01
   al26    1.248E-05  1.248E-05   0.000E+00   1.243E-05  1.243E-05   0.000E+00
   al27    9.898E-06  9.724E-05   4.660E-02   1.119E-05  9.853E-05   5.231E-02
   si28    9.476E-06  1.014E-03   4.053E-03   1.152E-05  1.016E-03   4.927E-03
   si29    1.192E-06  5.386E-05   9.695E-03   2.069E-06  5.474E-05   1.671E-02
   si30    2.772E-06  3.893E-05   3.205E-02   4.846E-06  4.101E-05   5.460E-02
    p31    7.261E-07  1.030E-05   3.171E-02   1.268E-06  1.084E-05   5.397E-02
    s32   -1.398E-06  7.111E-04  -8.788E-04  -2.359E-06  7.101E-04  -1.466E-03
    s33    2.775E-08  5.827E-06   2.047E-03   4.262E-08  5.842E-06   3.154E-03
    s34   -1.133E-06  2.890E-04  -1.726E-03  -1.712E-06  2.884E-04  -2.596E-03
    s35    1.265E-06  1.265E-06   0.000E+00   1.933E-06  1.933E-06   0.000E+00
   fe54   -8.551E-07  1.077E-04  -3.460E-03  -1.089E-06  1.075E-04  -4.405E-03
   fe55    4.302E-07  4.302E-07   0.000E+00   4.292E-07  4.292E-07   0.000E+00
   fe56   -6.706E-06  1.774E-03  -1.665E-03  -1.049E-05  1.770E-03  -2.593E-03
   fe57    7.443E-07  4.421E-05   7.349E-03   6.762E-07  4.414E-05   6.679E-03
