# Minitial =  1.00 msun, Z = 0.0001, Mfinal = 0.720 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    o18     18  -4.2593982E-09  2.6073582E-08  3.0332981E-08  9.3119944E-08  1.0835156E-07 -6.5792464E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.2945182E-09  5.8616108E-09  5.6709271E-10  2.0934326E-08  2.0256954E-09  1.0142848E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.8451033E-07  2.4515825E-06  2.2670722E-06  8.7556527E-06  8.0981417E-06  3.3903167E-02
   ne21     21   2.4603274E-08  3.0381717E-08  5.7784431E-09  1.0850614E-07  2.0641007E-08  7.2072345E-01
   ne22     22   1.1070939E-06  1.2894135E-06  1.8231955E-07  4.6050486E-06  6.5125835E-07  8.4948093E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.4535642E-24  1.4535642E-24  0.0000000E+00  5.1913011E-24  0.0000000E+00  0.0000000E+00
   na23     23   3.1468911E-08  7.8228027E-08  4.6759116E-08  2.7938583E-07  1.6702687E-07  2.2341804E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   8.2501401E-09  7.2928106E-07  7.2103091E-07  2.6045755E-06  2.5755735E-06  4.8629967E-03
   mg25     25   1.9257698E-09  9.6685724E-08  9.4759955E-08  3.4530620E-07  3.3848926E-07  8.6594950E-03
   mg26     26   1.0841838E-08  1.1953509E-07  1.0869325E-07  4.2691107E-07  3.8825999E-07  4.1214798E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   1.2656813E-10  1.2656813E-10  0.0000000E+00  4.5202908E-10  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.2148861E-09  8.4527386E-08  8.1312500E-08  3.0188355E-07  2.9045401E-07  1.6762083E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   5.6614908E-09  9.2046889E-07  9.1480740E-07  3.2873893E-06  3.2677567E-06  2.6013956E-03
   si29     29   5.1394622E-10  4.8506944E-08  4.7992998E-08  1.7323910E-07  1.7143438E-07  4.5479797E-03
   si30     30   1.7805739E-09  3.4731801E-08  3.2951228E-08  1.2404216E-07  1.1770411E-07  2.2777693E-02
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   5.7400490E-16  5.7400490E-16  0.0000000E+00  2.0500177E-15  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   2.4702835E-09  1.3895074E-08  1.1424791E-08  4.9625271E-08  4.0810161E-08  8.4934585E-02
    p32     32   1.4653249E-19  1.4653249E-19  0.0000000E+00  5.2333034E-19  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -4.8612492E-10  5.5404109E-07  5.5452722E-07  1.9787185E-06  1.9808103E-06 -4.5888996E-04
    s33     33   1.1417978E-11  4.5253401E-09  4.5139221E-09  1.6161930E-08  1.6124050E-08  1.0191246E-03
    s34     34   9.5042196E-11  2.6183028E-07  2.6173524E-07  9.3510823E-07  9.3493685E-07  7.9617937E-05
    s35     35   1.8549981E-10  1.8549981E-10  0.0000000E+00  6.6249939E-10  0.0000000E+00  0.0000000E+00
   fe54     54  -3.7217518E-10  9.9538454E-08  9.9910629E-08  3.5549451E-07  3.5688785E-07 -1.6988753E-03
   fe55     55   1.2895956E-12  1.2895956E-12  0.0000000E+00  4.6056991E-12  0.0000000E+00  0.0000000E+00
   fe56     56  -5.5406417E-09  1.6326549E-06  1.6381955E-06  5.8309106E-06  5.8517503E-06 -1.5493954E-03
   fe57     57  -2.5224267E-12  4.0006196E-08  4.0008718E-08  1.4287929E-07  1.4291398E-07 -1.0542045E-04
   fe58     58   6.2737904E-10  5.8082521E-09  5.1808731E-09  2.0743760E-08  1.8506446E-08  4.9564485E-02
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   8.4110517E-11  8.4110517E-11  0.0000000E+00  3.0039474E-10  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   1.8350832E-10  4.8892344E-09  4.7057260E-09  1.7461552E-08  1.6809187E-08  1.6536128E-02
   co60     60   2.9558207E-16  2.9558207E-16  0.0000000E+00  1.0556504E-15  0.0000000E+00  0.0000000E+00
   co61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni58     58  -2.5887203E-10  6.9022676E-08  6.9281548E-08  2.4650959E-07  2.4747860E-07 -1.7038389E-03
   ni59     59  -4.5994620E-16 -4.5994620E-16  0.0000000E+00 -1.6426652E-15  0.0000000E+00  0.0000000E+00
   ni60     60   1.0275514E-10  2.7541603E-08  2.7438848E-08  9.8362875E-08  9.8013501E-08  1.5453319E-03
   ni61     61   7.9472349E-09  9.1515062E-09  1.2042713E-09  3.2683953E-08  4.3017425E-09  8.8069016E-01
   ni62     62  -2.2508742E-09  1.6393433E-09  3.8902175E-09  5.8547980E-09  1.3896132E-08 -3.7538204E-01
# Minitial =  1.25 msun, Z = 0.0001, Mfinal = 0.668 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   4.8815485E-09  5.0464908E-09  1.6494223E-10  8.6709457E-09  2.8343647E-10  1.4856107E+00
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.9883474E-02  4.1815230E-01  4.4803578E-01  7.1847475E-01  7.6990402E-01 -3.0025078E-02
      d      2   2.7917968E-18  2.7917968E-18  0.0000000E+00  4.7969014E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.3304637E-04  1.3304637E-04  0.0000000E+00  2.2860200E-04  0.0000000E+00  0.0000000E+00
    he4      4   2.5842562E-02  1.5968882E-01  1.3384625E-01  2.7437940E-01  2.3000120E-01  7.6621421E-02
    li7      7  -9.5209463E-10  1.3350905E-10  1.0856037E-09  2.2939699E-10  1.8655000E-09 -9.1020751E-01
    be7      7   5.6262053E-13  5.6262053E-13  0.0000000E+00  9.6670187E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.4793270E-26  1.4793270E-26  0.0000000E+00  2.5417989E-26  0.0000000E+00  0.0000000E+00
    c12     12   3.7244316E-03  3.7332540E-03  8.8223305E-06  6.4145257E-03  1.5160279E-05  2.6264572E+00
    c13     13   4.8372362E-07  5.8990150E-07  1.0617790E-07  1.0135765E-06  1.8245595E-07  7.4469852E-01
    c14     14   2.7769462E-10  2.7769462E-10  0.0000000E+00  4.7713850E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.9784671E-05  2.2999175E-05  3.2145040E-06  3.9517479E-05  5.5237988E-06  8.5455143E-01
    n15     15   1.5404620E-09  1.4235197E-08  1.2694735E-08  2.4459101E-08  2.1814614E-08  4.9692959E-02
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   9.5367177E-05  1.2328588E-04  2.7918699E-05  2.1183140E-04  4.7975449E-05  6.4497125E-01
    o17     17   7.6329478E-08  8.7640124E-08  1.1310648E-08  1.5058440E-07  1.9436200E-08  8.8916862E-01
    o18     18  -1.5389304E-08  4.7664500E-08  6.3053804E-08  8.1897767E-08  1.0835156E-07 -1.2156311E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.5878395E-07  1.5996278E-07  1.1788275E-09  2.7485012E-07  2.0256954E-09  2.1325219E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.8050712E-07  5.0931171E-06  4.7126100E-06  8.7510598E-06  8.0981417E-06  3.3675272E-02
   ne21     21   4.5123549E-08  5.7135320E-08  1.2011769E-08  9.8170652E-08  2.0641007E-08  6.7725074E-01
   ne22     22   6.5351633E-05  6.5730623E-05  3.7899147E-07  1.1293921E-04  6.5125835E-07  2.2390914E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.1892120E-31  1.1892120E-31  0.0000000E+00  2.0433195E-31  0.0000000E+00  0.0000000E+00
   na23     23   2.7230726E-07  3.6950641E-07  9.7199141E-08  6.3489074E-07  1.6702687E-07  5.7991266E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.5938562E-08  1.5247606E-06  1.4988220E-06  2.6198634E-06  2.5755735E-06  7.4047204E-03
   mg25     25   1.4472940E-07  3.4170890E-07  1.9697950E-07  5.8712868E-07  3.3848926E-07  2.3918842E-01
   mg26     26   1.4009277E-07  3.6603569E-07  2.2594293E-07  6.2892730E-07  3.8825999E-07  2.0947783E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   9.1887464E-10  9.1887464E-10  0.0000000E+00  1.5788224E-09  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.8154338E-08  1.8718032E-07  1.6902598E-07  3.2161566E-07  2.9045401E-07  4.4259802E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.3693807E-08  1.9153231E-06  1.9016293E-06  3.2909331E-06  3.2677567E-06  3.0693512E-03
   si29     29   1.8436239E-09  1.0160767E-07  9.9764044E-08  1.7458362E-07  1.7143438E-07  7.9055605E-03
   si30     30   5.2428817E-09  7.3739287E-08  6.8496405E-08  1.2669980E-07  1.1770411E-07  3.1984288E-02
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   1.4767257E-17  1.4767257E-17  0.0000000E+00  2.5373292E-17  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   4.3550408E-09  2.8103992E-08  2.3748951E-08  4.8288644E-08  4.0810161E-08  7.3076718E-02
    p32     32   3.7697989E-21  3.7697989E-21  0.0000000E+00  6.4773174E-21  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -4.1236490E-09  1.1485836E-06  1.1527072E-06  1.9735112E-06  1.9808103E-06 -1.6033041E-03
    s33     33   1.9077717E-10  9.5739612E-09  9.3831840E-09  1.6450105E-08  1.6124050E-08  8.6945612E-03
    s34     34   5.1727511E-11  5.4412624E-07  5.4407451E-07  9.3492480E-07  9.3493685E-07 -5.5914052E-06
    s35     35   3.0293373E-10  3.0293373E-10  0.0000000E+00  5.2050469E-10  0.0000000E+00  0.0000000E+00
   fe54     54  -3.3982417E-09  2.0428809E-07  2.0768633E-07  3.5101044E-07  3.5688785E-07 -7.2117373E-03
   fe55     55   8.0056201E-10  8.0056201E-10  0.0000000E+00  1.3755360E-09  0.0000000E+00  0.0000000E+00
   fe56     56  -2.9760031E-08  3.3755909E-06  3.4053510E-06  5.7999841E-06  5.8517503E-06 -3.8589861E-03
   fe57     57   6.1890120E-09  8.9355979E-08  8.3166967E-08  1.5353261E-07  1.4291398E-07  3.1125933E-02
   fe58     58   8.2146352E-09  1.8984224E-08  1.0769589E-08  3.2618942E-08  1.8506446E-08  2.4614686E-01
   fe59     59   9.1300200E-41  9.1300200E-41  0.0000000E+00  1.5687256E-40  0.0000000E+00  0.0000000E+00
   fe60     60   6.0132255E-10  6.0132255E-10  0.0000000E+00  1.0332002E-09  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   1.8803004E-09  1.1662191E-08  9.7818909E-09  2.0038129E-08  1.6809187E-08  7.6310493E-02
   co60     60   2.1131761E-15  2.1131761E-15  0.0000000E+00  3.6308868E-15  0.0000000E+00  0.0000000E+00
   co61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni58     58  -2.3641462E-09  1.4165285E-07  1.4401699E-07  2.4338976E-07  2.4747860E-07 -7.2353468E-03
   ni59     59   2.6009075E-11  2.6009075E-11  0.0000000E+00  4.4689131E-11  0.0000000E+00  0.0000000E+00
   ni60     60   1.2006431E-09  5.8238346E-08  5.7037703E-08  1.0006588E-07  9.8013501E-08  9.0001458E-03
   ni61     61   2.4354311E-08  2.6857654E-08  2.5033440E-09  4.6147171E-08  4.3017425E-09  1.0305007E+00
   ni62     62  -5.5364615E-09  2.5502147E-09  8.0866762E-09  4.3818122E-09  1.3896132E-08 -5.0124019E-01
# Minitial =  1.50 msun, Z = 0.0001, Mfinal = 0.661 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   2.6394186E-08  2.6631968E-08  2.3778179E-10  3.1742513E-08  2.8343647E-10  2.0491855E+00
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -5.8753908E-02  5.8713746E-01  6.4589137E-01  6.9980627E-01  7.6990402E-01 -4.1458767E-02
      d      2   4.7256555E-18  4.7256555E-18  0.0000000E+00  5.6324858E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.6939414E-04  1.6939414E-04  0.0000000E+00  2.0190005E-04  0.0000000E+00  0.0000000E+00
    he4      4   4.6112388E-02  2.3906603E-01  1.9295365E-01  2.8494164E-01  2.3000120E-01  9.3025833E-02
    li7      7  -1.4092864E-09  1.5572733E-10  1.5650137E-09  1.8561065E-10  1.8655000E-09 -1.0021924E+00
    be7      7   5.1079388E-13  5.1079388E-13  0.0000000E+00  6.0881275E-13  0.0000000E+00  0.0000000E+00
     b8      8   3.1391580E-27  3.1391580E-27  0.0000000E+00  3.7415472E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.1603115E-02  1.1615833E-02  1.2718329E-05  1.3844855E-02  1.5160279E-05  2.9605813E+00
    c13     13   8.9312670E-07  1.0461935E-06  1.5306676E-07  1.2469529E-06  1.8245595E-07  8.3469206E-01
    c14     14   1.4827167E-09  1.4827167E-09  0.0000000E+00  1.7672428E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.9850747E-05  4.4484797E-05  4.6340501E-06  5.3021213E-05  5.5237988E-06  9.8221183E-01
    n15     15   2.2592836E-08  4.0893649E-08  1.8300813E-08  4.8740940E-08  2.1814614E-08  3.4914637E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   2.7543955E-04  3.1568733E-04  4.0247782E-05  3.7626619E-04  4.7975449E-05  8.9447618E-01
    o17     17   3.1524704E-07  3.3155254E-07  1.6305505E-08  3.9517587E-07  1.9436200E-08  1.3081790E+00
    o18     18  -2.5829607E-08  6.5069180E-08  9.0898787E-08  7.7555640E-08  1.0835156E-07 -1.4522177E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.2515054E-06  1.2532048E-06  1.6994055E-09  1.4936887E-06  2.0256954E-09  2.8676860E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   4.2314559E-06  1.1025186E-05  6.7937299E-06  1.3140865E-05  8.0981417E-06  2.1023859E-01
   ne21     21   1.7896340E-07  1.9627964E-07  1.7316246E-08  2.3394475E-07  2.0641007E-08  1.0543824E+00
   ne22     22   5.3850829E-04  5.3905463E-04  5.4635666E-07  6.4249657E-04  6.5125835E-07  2.9941175E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.6641301E-28  1.6641301E-28  0.0000000E+00  1.9834685E-28  0.0000000E+00  0.0000000E+00
   na23     23   4.4200401E-06  4.5601632E-06  1.4012294E-07  5.4352363E-06  1.6702687E-07  1.5124321E+00
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   4.9075970E-07  2.6514713E-06  2.1607116E-06  3.1602758E-06  2.5755735E-06  8.8851064E-02
   mg25     25   1.8299381E-06  2.1139051E-06  2.8396693E-07  2.5195532E-06  3.3848926E-07  8.7177861E-01
   mg26     26   1.7451263E-06  2.0708471E-06  3.2572083E-07  2.4682327E-06  3.8825999E-07  8.0326343E-01
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   1.6035923E-09  1.6035923E-09  0.0000000E+00  1.9113138E-09  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   4.0458161E-08  2.8412714E-07  2.4366898E-07  3.3864976E-07  2.9045401E-07  6.6673376E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.1499545E-08  2.7629007E-06  2.7414012E-06  3.2930880E-06  3.2677567E-06  3.3535925E-03
   si29     29   5.2830131E-09  1.4910351E-07  1.4382050E-07  1.7771575E-07  1.7143438E-07  1.5627982E-02
   si30     30   1.6755607E-08  1.1550047E-07  9.8744863E-08  1.3766444E-07  1.1770411E-07  6.8030149E-02
   si31     31   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si32     32   7.0364099E-17  7.0364099E-17  0.0000000E+00  8.3866625E-17  0.0000000E+00  0.0000000E+00
   si33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p29     29   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p30     30   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p31     31   1.5807800E-08  5.0044445E-08  3.4236646E-08  5.9647732E-08  4.0810161E-08  1.6482565E-01
    p32     32   1.7962616E-20  1.7962616E-20  0.0000000E+00  2.1409556E-20  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -9.8165174E-09  1.6519339E-06  1.6617504E-06  1.9689319E-06  1.9808103E-06 -2.6122017E-03
    s33     33   7.3699624E-10  1.4263857E-08  1.3526861E-08  1.7001021E-08  1.6124050E-08  2.3000868E-02
    s34     34   3.8130565E-10  7.8472277E-07  7.8434147E-07  9.3530724E-07  9.3493685E-07  1.7200409E-04
    s35     35   1.1611125E-09  1.1611125E-09  0.0000000E+00  1.3839244E-09  0.0000000E+00  0.0000000E+00
   fe54     54  -1.1268014E-08  2.8813395E-07  2.9940196E-07  3.4342546E-07  3.5688785E-07 -1.6699279E-02
   fe55     55   2.7753861E-09  2.7753861E-09  0.0000000E+00  3.3079692E-09  0.0000000E+00  0.0000000E+00
   fe56     56  -8.9826244E-08  4.8193506E-06  4.9091768E-06  5.7441607E-06  5.8517503E-06 -8.0592064E-03
   fe57     57   2.4371275E-08  1.4426533E-07  1.1989405E-07  1.7194914E-07  1.4291398E-07  8.0325298E-02
   fe58     58   3.1744200E-08  4.7269712E-08  1.5525512E-08  5.6340539E-08  1.8506446E-08  4.8349798E-01
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   8.1323182E-10  8.1323182E-10  0.0000000E+00  9.6928710E-10  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   6.7092332E-09  2.0810873E-08  1.4101640E-08  2.4804379E-08  1.6809187E-08  1.6898166E-01
   co60     60   2.8578693E-15  2.8578693E-15  0.0000000E+00  3.4062805E-15  0.0000000E+00  0.0000000E+00
