#           k/h    P           
    0.45515E-04    0.18033E+00
    0.45972E-04    0.18208E+00
    0.46434E-04    0.18385E+00
    0.46901E-04    0.18564E+00
    0.47372E-04    0.18744E+00
    0.47848E-04    0.18926E+00
    0.48329E-04    0.19110E+00
    0.48815E-04    0.19295E+00
    0.49305E-04    0.19483E+00
    0.49801E-04    0.19672E+00
    0.50301E-04    0.19863E+00
    0.50807E-04    0.20056E+00
    0.51318E-04    0.20251E+00
    0.51833E-04    0.20447E+00
    0.52354E-04    0.20646E+00
    0.52880E-04    0.20847E+00
    0.53412E-04    0.21049E+00
    0.53949E-04    0.21254E+00
    0.54491E-04    0.21460E+00
    0.55039E-04    0.21668E+00
    0.55592E-04    0.21879E+00
    0.56150E-04    0.22091E+00
    0.56715E-04    0.22306E+00
    0.57285E-04    0.22523E+00
    0.57860E-04    0.22741E+00
    0.58442E-04    0.22962E+00
    0.59029E-04    0.23185E+00
    0.59623E-04    0.23410E+00
    0.60222E-04    0.23638E+00
    0.60827E-04    0.23867E+00
    0.61438E-04    0.24099E+00
    0.62056E-04    0.24333E+00
    0.62680E-04    0.24570E+00
    0.63309E-04    0.24808E+00
    0.63946E-04    0.25049E+00
    0.64588E-04    0.25292E+00
    0.65237E-04    0.25538E+00
    0.65893E-04    0.25786E+00
    0.66555E-04    0.26037E+00
    0.67224E-04    0.26289E+00
    0.67900E-04    0.26545E+00
    0.68582E-04    0.26803E+00
    0.69272E-04    0.27063E+00
    0.69968E-04    0.27326E+00
    0.70671E-04    0.27591E+00
    0.71381E-04    0.27859E+00
    0.72099E-04    0.28130E+00
    0.72823E-04    0.28403E+00
    0.73555E-04    0.28679E+00
    0.74294E-04    0.28957E+00
    0.75041E-04    0.29238E+00
    0.75795E-04    0.29522E+00
    0.76557E-04    0.29809E+00
    0.77326E-04    0.30099E+00
    0.78103E-04    0.30391E+00
    0.78888E-04    0.30686E+00
    0.79681E-04    0.30984E+00
    0.80482E-04    0.31285E+00
    0.81291E-04    0.31589E+00
    0.82108E-04    0.31895E+00
    0.82933E-04    0.32205E+00
    0.83767E-04    0.32518E+00
    0.84608E-04    0.32834E+00
    0.85459E-04    0.33153E+00
    0.86318E-04    0.33475E+00
    0.87185E-04    0.33800E+00
    0.88061E-04    0.34128E+00
    0.88946E-04    0.34459E+00
    0.89840E-04    0.34794E+00
    0.90743E-04    0.35132E+00
    0.91655E-04    0.35473E+00
    0.92576E-04    0.35817E+00
    0.93507E-04    0.36165E+00
    0.94447E-04    0.36516E+00
    0.95396E-04    0.36871E+00
    0.96355E-04    0.37229E+00
    0.97323E-04    0.37591E+00
    0.98301E-04    0.37956E+00
    0.99289E-04    0.38324E+00
    0.10029E-03    0.38696E+00
    0.10129E-03    0.39072E+00
    0.10231E-03    0.39451E+00
    0.10334E-03    0.39834E+00
    0.10438E-03    0.40221E+00
    0.10543E-03    0.40612E+00
    0.10649E-03    0.41006E+00
    0.10756E-03    0.41404E+00
    0.10864E-03    0.41806E+00
    0.10973E-03    0.42212E+00
    0.11083E-03    0.42622E+00
    0.11195E-03    0.43036E+00
    0.11307E-03    0.43454E+00
    0.11421E-03    0.43875E+00
    0.11536E-03    0.44301E+00
    0.11652E-03    0.44732E+00
    0.11769E-03    0.45166E+00
    0.11887E-03    0.45604E+00
    0.12007E-03    0.46047E+00
    0.12127E-03    0.46494E+00
    0.12249E-03    0.46946E+00
    0.12372E-03    0.47401E+00
    0.12497E-03    0.47861E+00
    0.12622E-03    0.48326E+00
    0.12749E-03    0.48795E+00
    0.12877E-03    0.49269E+00
    0.13007E-03    0.49747E+00
    0.13137E-03    0.50230E+00
    0.13269E-03    0.50718E+00
    0.13403E-03    0.51210E+00
    0.13537E-03    0.51707E+00
    0.13673E-03    0.52209E+00
    0.13811E-03    0.52716E+00
    0.13950E-03    0.53227E+00
    0.14090E-03    0.53744E+00
    0.14231E-03    0.54266E+00
    0.14374E-03    0.54792E+00
    0.14519E-03    0.55324E+00
    0.14665E-03    0.55861E+00
    0.14812E-03    0.56403E+00
    0.14961E-03    0.56951E+00
    0.15111E-03    0.57504E+00
    0.15263E-03    0.58062E+00
    0.15417E-03    0.58625E+00
    0.15572E-03    0.59194E+00
    0.15728E-03    0.59769E+00
    0.15886E-03    0.60349E+00
    0.16046E-03    0.60934E+00
    0.16207E-03    0.61525E+00
    0.16370E-03    0.62122E+00
    0.16535E-03    0.62725E+00
