#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.737455E-05   0.631556E+07   0.631556E+07   0.842011E+07   0.842011E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.151436E-01
   0.744866E-05   0.631556E+07   0.631556E+07   0.842010E+07   0.842010E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.152958E-01
   0.752352E-05   0.631556E+07   0.631556E+07   0.842008E+07   0.842008E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.154495E-01
   0.759914E-05   0.631556E+07   0.631556E+07   0.842007E+07   0.842007E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.156048E-01
   0.767551E-05   0.631556E+07   0.631556E+07   0.842006E+07   0.842005E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.157616E-01
   0.775265E-05   0.631556E+07   0.631556E+07   0.842004E+07   0.842004E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.159200E-01
   0.783056E-05   0.631556E+07   0.631556E+07   0.842003E+07   0.842003E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.160800E-01
   0.790926E-05   0.631556E+07   0.631556E+07   0.842002E+07   0.842001E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.162416E-01
   0.798875E-05   0.631556E+07   0.631556E+07   0.842000E+07   0.842000E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.164049E-01
   0.806904E-05   0.631556E+07   0.631556E+07   0.841998E+07   0.841998E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.165697E-01
   0.815014E-05   0.631556E+07   0.631556E+07   0.841997E+07   0.841997E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.167363E-01
   0.823205E-05   0.631556E+07   0.631556E+07   0.841995E+07   0.841995E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632544E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.169045E-01
   0.831478E-05   0.631556E+07   0.631556E+07   0.841994E+07   0.841993E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.170743E-01
   0.839834E-05   0.631556E+07   0.631556E+07   0.841992E+07   0.841992E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.172459E-01
   0.848275E-05   0.631556E+07   0.631556E+07   0.841990E+07   0.841990E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.174193E-01
   0.856800E-05   0.631556E+07   0.631556E+07   0.841989E+07   0.841988E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.175943E-01
   0.865411E-05   0.631556E+07   0.631556E+07   0.841987E+07   0.841987E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.177712E-01
   0.874109E-05   0.631556E+07   0.631556E+07   0.841985E+07   0.841985E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.179498E-01
