#           k/h    P           
    0.68734E-01    0.16755E+01
    0.69616E-01    0.16528E+01
    0.70498E-01    0.16295E+01
    0.71379E-01    0.16057E+01
    0.72261E-01    0.15814E+01
    0.73143E-01    0.15566E+01
    0.74025E-01    0.15314E+01
    0.74907E-01    0.15058E+01
    0.75789E-01    0.14799E+01
    0.76670E-01    0.14537E+01
    0.77552E-01    0.14274E+01
    0.78434E-01    0.14010E+01
    0.79316E-01    0.13745E+01
    0.80198E-01    0.13481E+01
    0.81080E-01    0.13218E+01
    0.81961E-01    0.12956E+01
    0.82843E-01    0.12698E+01
    0.83725E-01    0.12442E+01
    0.84607E-01    0.12191E+01
    0.85489E-01    0.11944E+01
    0.86371E-01    0.11703E+01
    0.87252E-01    0.11468E+01
    0.88134E-01    0.11239E+01
    0.89016E-01    0.11016E+01
    0.89898E-01    0.10801E+01
    0.90780E-01    0.10593E+01
    0.91662E-01    0.10393E+01
    0.92543E-01    0.10201E+01
    0.93425E-01    0.10017E+01
    0.94307E-01    0.98409E+00
    0.95189E-01    0.96734E+00
    0.96071E-01    0.95141E+00
    0.96953E-01    0.93631E+00
    0.97834E-01    0.92201E+00
    0.98716E-01    0.90851E+00
    0.99598E-01    0.89580E+00
    0.10048E+00    0.88383E+00
    0.10136E+00    0.87260E+00
    0.10224E+00    0.86207E+00
    0.10313E+00    0.85221E+00
    0.10401E+00    0.84298E+00
    0.10489E+00    0.83436E+00
    0.10577E+00    0.82629E+00
    0.10665E+00    0.81874E+00
    0.10753E+00    0.81166E+00
    0.10842E+00    0.80502E+00
    0.10930E+00    0.79877E+00
    0.11018E+00    0.79287E+00
    0.11106E+00    0.78726E+00
    0.11194E+00    0.78192E+00
    0.11283E+00    0.77678E+00
    0.11371E+00    0.77182E+00
    0.11459E+00    0.76698E+00
    0.11547E+00    0.76223E+00
    0.11635E+00    0.75753E+00
    0.11723E+00    0.75284E+00
    0.11812E+00    0.74812E+00
    0.11900E+00    0.74336E+00
    0.11988E+00    0.73850E+00
    0.12076E+00    0.73354E+00
    0.12164E+00    0.72843E+00
    0.12253E+00    0.72317E+00
    0.12341E+00    0.71773E+00
    0.12429E+00    0.71209E+00
    0.12517E+00    0.70626E+00
    0.12605E+00    0.70021E+00
    0.12693E+00    0.69395E+00
    0.12782E+00    0.68747E+00
    0.12870E+00    0.68077E+00
    0.12958E+00    0.67386E+00
    0.13046E+00    0.66675E+00
    0.13134E+00    0.65944E+00
    0.13223E+00    0.65194E+00
    0.13311E+00    0.64428E+00
    0.13399E+00    0.63646E+00
    0.13487E+00    0.62851E+00
    0.13575E+00    0.62045E+00
    0.13664E+00    0.61229E+00
    0.13752E+00    0.60406E+00
    0.13840E+00    0.59578E+00
    0.13928E+00    0.58747E+00
    0.14016E+00    0.57916E+00
    0.14104E+00    0.57087E+00
    0.14193E+00    0.56262E+00
    0.14281E+00    0.55443E+00
    0.14369E+00    0.54633E+00
    0.14457E+00    0.53833E+00
    0.14545E+00    0.53046E+00
    0.14634E+00    0.52274E+00
    0.14722E+00    0.51517E+00
    0.14810E+00    0.50778E+00
    0.14898E+00    0.50058E+00
    0.14986E+00    0.49358E+00
    0.15074E+00    0.48679E+00
    0.15163E+00    0.48022E+00
    0.15251E+00    0.47389E+00
    0.15339E+00    0.46779E+00
    0.15427E+00    0.46193E+00
    0.15515E+00    0.45631E+00
    0.15604E+00    0.45094E+00
    0.15692E+00    0.44581E+00
    0.15780E+00    0.44091E+00
    0.15868E+00    0.43626E+00
    0.15956E+00    0.43184E+00
    0.16044E+00    0.42765E+00
    0.16133E+00    0.42368E+00
    0.16221E+00    0.41993E+00
    0.16309E+00    0.41637E+00
    0.16397E+00    0.41302E+00
    0.16485E+00    0.40984E+00
    0.16574E+00    0.40684E+00
    0.16662E+00    0.40400E+00
    0.16750E+00    0.40130E+00
    0.16838E+00    0.39874E+00
    0.16926E+00    0.39630E+00
    0.17014E+00    0.39397E+00
    0.17103E+00    0.39174E+00
    0.17191E+00    0.38959E+00
    0.17279E+00    0.38751E+00
    0.17367E+00    0.38548E+00
    0.17455E+00    0.38349E+00
    0.17544E+00    0.38154E+00
    0.17632E+00    0.37960E+00
    0.17720E+00    0.37766E+00
    0.17808E+00    0.37573E+00
    0.17896E+00    0.37377E+00
    0.17985E+00    0.37180E+00
    0.18073E+00    0.36979E+00
    0.18161E+00    0.36773E+00
    0.18249E+00    0.36563E+00
    0.18337E+00    0.36347E+00
    0.18425E+00    0.36125E+00
    0.18514E+00    0.35897E+00
    0.18602E+00    0.35662E+00
    0.18690E+00    0.35420E+00
    0.18778E+00    0.35171E+00
    0.18866E+00    0.34915E+00
    0.18955E+00    0.34652E+00
    0.19043E+00    0.34381E+00
    0.19131E+00    0.34104E+00
    0.19219E+00    0.33820E+00
    0.19307E+00    0.33531E+00
    0.19395E+00    0.33235E+00
    0.19484E+00    0.32935E+00
    0.19572E+00    0.32629E+00
    0.19660E+00    0.32320E+00
    0.19748E+00    0.32007E+00
    0.19836E+00    0.31692E+00
    0.19925E+00    0.31375E+00
    0.20013E+00    0.31056E+00
    0.20101E+00    0.30736E+00
