#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.569006E-02   0.226906E+06   0.224254E+06   0.650709E+05   0.586786E+05   0.122556E+06   0.223008E+06   0.226458E+06   0.224145E+06  -0.537337E+00   0.224112E+06   0.223497E+06   0.195501E+03
   0.575363E-02   0.226575E+06   0.223865E+06   0.625555E+05   0.564575E+05   0.120786E+06   0.222620E+06   0.226117E+06   0.223713E+06  -0.536205E+00   0.223748E+06   0.223120E+06   0.197308E+03
   0.581792E-02   0.226239E+06   0.223471E+06   0.600783E+05   0.542832E+05   0.119016E+06   0.222227E+06   0.225771E+06   0.223277E+06  -0.535061E+00   0.223378E+06   0.222737E+06   0.199125E+03
   0.588292E-02   0.225898E+06   0.223070E+06   0.576418E+05   0.521574E+05   0.117247E+06   0.221828E+06   0.225420E+06   0.222835E+06  -0.533905E+00   0.223001E+06   0.222347E+06   0.200953E+03
   0.594865E-02   0.225551E+06   0.222662E+06   0.552480E+05   0.500819E+05   0.115480E+06   0.221424E+06   0.225062E+06   0.222390E+06  -0.532736E+00   0.222619E+06   0.221952E+06   0.202792E+03
   0.601512E-02   0.225198E+06   0.222247E+06   0.528993E+05   0.480586E+05   0.113716E+06   0.221015E+06   0.224699E+06   0.221939E+06  -0.531555E+00   0.222231E+06   0.221550E+06   0.204641E+03
   0.608233E-02   0.224840E+06   0.221825E+06   0.505978E+05   0.460889E+05   0.111956E+06   0.220600E+06   0.224330E+06   0.221484E+06  -0.530362E+00   0.221837E+06   0.221142E+06   0.206500E+03
   0.615028E-02   0.224476E+06   0.221397E+06   0.483457E+05   0.441746E+05   0.110202E+06   0.220179E+06   0.223956E+06   0.221024E+06  -0.529157E+00   0.221436E+06   0.220728E+06   0.208369E+03
   0.621900E-02   0.224107E+06   0.220962E+06   0.461451E+05   0.423170E+05   0.108453E+06   0.219754E+06   0.223576E+06   0.220560E+06  -0.527940E+00   0.221030E+06   0.220307E+06   0.210249E+03
   0.628849E-02   0.223732E+06   0.220519E+06   0.439982E+05   0.405177E+05   0.106710E+06   0.219322E+06   0.223189E+06   0.220091E+06  -0.526711E+00   0.220617E+06   0.219880E+06   0.212138E+03
   0.635875E-02   0.223352E+06   0.220070E+06   0.419068E+05   0.387778E+05   0.104976E+06   0.218886E+06   0.222797E+06   0.219618E+06  -0.525471E+00   0.220199E+06   0.219446E+06   0.214038E+03
   0.642980E-02   0.222966E+06   0.219613E+06   0.398730E+05   0.370986E+05   0.103251E+06   0.218443E+06   0.222399E+06   0.219140E+06  -0.524218E+00   0.219774E+06   0.219006E+06   0.215947E+03
   0.650164E-02   0.222574E+06   0.219149E+06   0.378988E+05   0.354811E+05   0.101536E+06   0.217996E+06   0.221995E+06   0.218658E+06  -0.522955E+00   0.219342E+06   0.218559E+06   0.217866E+03
   0.657428E-02   0.222176E+06   0.218678E+06   0.359857E+05   0.339263E+05   0.998312E+05   0.217542E+06   0.221585E+06   0.218171E+06  -0.521680E+00   0.218905E+06   0.218106E+06   0.219795E+03
   0.664773E-02   0.221772E+06   0.218200E+06   0.341357E+05   0.324350E+05   0.981388E+05   0.217084E+06   0.221168E+06   0.217680E+06  -0.520394E+00   0.218461E+06   0.217646E+06   0.221734E+03
   0.672201E-02   0.221362E+06   0.217714E+06   0.323503E+05   0.310077E+05   0.964594E+05   0.216620E+06   0.220746E+06   0.217185E+06  -0.519097E+00   0.218011E+06   0.217179E+06   0.223682E+03
   0.679711E-02   0.220947E+06   0.217221E+06   0.306310E+05   0.296451E+05   0.947940E+05   0.216150E+06   0.220317E+06   0.216685E+06  -0.517789E+00   0.217554E+06   0.216706E+06   0.225640E+03
   0.687306E-02   0.220526E+06   0.216720E+06   0.289793E+05   0.283475E+05   0.931435E+05   0.215675E+06   0.219882E+06   0.216181E+06  -0.516470E+00   0.217092E+06   0.216226E+06   0.227607E+03
   0.694985E-02   0.220098E+06   0.216212E+06   0.273963E+05   0.271149E+05   0.915091E+05   0.215194E+06   0.219441E+06   0.215673E+06  -0.515140E+00   0.216622E+06   0.215740E+06   0.229583E+03
   0.702750E-02   0.219665E+06   0.215696E+06   0.258832E+05   0.259476E+05   0.898916E+05   0.214708E+06   0.218994E+06   0.215160E+06  -0.513800E+00   0.216147E+06   0.215247E+06   0.231568E+03
   0.710602E-02   0.219225E+06   0.215172E+06   0.244410E+05   0.248452E+05   0.882921E+05   0.214216E+06   0.218540E+06   0.214643E+06  -0.512450E+00   0.215665E+06   0.214747E+06   0.233563E+03
   0.718542E-02   0.218780E+06   0.214641E+06   0.230705E+05   0.238075E+05   0.867114E+05   0.213719E+06   0.218080E+06   0.214122E+06  -0.511089E+00   0.215176E+06   0.214240E+06   0.235566E+03
   0.726570E-02   0.218328E+06   0.214102E+06   0.217724E+05   0.228339E+05   0.851505E+05   0.213216E+06   0.217614E+06   0.213597E+06  -0.509719E+00   0.214681E+06   0.213726E+06   0.237578E+03
   0.734688E-02   0.217871E+06   0.213555E+06   0.205471E+05   0.219236E+05   0.836102E+05   0.212708E+06   0.217141E+06   0.213067E+06  -0.508338E+00   0.214180E+06   0.213206E+06   0.239599E+03
   0.742897E-02   0.217407E+06   0.213000E+06   0.193950E+05   0.210758E+05   0.820915E+05   0.212195E+06   0.216662E+06   0.212533E+06  -0.506948E+00   0.213672E+06   0.212679E+06   0.241629E+03
   0.751197E-02   0.216937E+06   0.212437E+06   0.183162E+05   0.202894E+05   0.805951E+05   0.211676E+06   0.216177E+06   0.211996E+06  -0.505548E+00   0.213157E+06   0.212145E+06   0.243667E+03
   0.759591E-02   0.216461E+06   0.211867E+06   0.173106E+05   0.195630E+05   0.791218E+05   0.211151E+06   0.215685E+06   0.211453E+06  -0.504139E+00   0.212636E+06   0.211604E+06   0.245714E+03
   0.768078E-02   0.215979E+06   0.211288E+06   0.163779E+05   0.188952E+05   0.776723E+05   0.210621E+06   0.215186E+06   0.210907E+06  -0.502720E+00   0.212109E+06   0.211056E+06   0.247768E+03
   0.776659E-02   0.215491E+06   0.210701E+06   0.155176E+05   0.182841E+05   0.762474E+05   0.210085E+06   0.214681E+06   0.210357E+06  -0.501292E+00   0.211575E+06   0.210502E+06   0.249831E+03
   0.785337E-02   0.214996E+06   0.210106E+06   0.147291E+05   0.177281E+05   0.748477E+05   0.209545E+06   0.214170E+06   0.209802E+06  -0.499855E+00   0.211035E+06   0.209941E+06   0.251902E+03
   0.794112E-02   0.214496E+06   0.209503E+06   0.140113E+05   0.172249E+05   0.734738E+05   0.208998E+06   0.213652E+06   0.209243E+06  -0.498409E+00   0.210488E+06   0.209373E+06   0.253981E+03
   0.802984E-02   0.213989E+06   0.208892E+06   0.133631E+05   0.167723E+05   0.721262E+05   0.208446E+06   0.213128E+06   0.208680E+06  -0.496954E+00   0.209935E+06   0.208798E+06   0.256068E+03
